Key,ShortKey,Source,Row,Module,Field,Role,CN,ES
Stage_7949_Desc,aViN,g关卡_Stage_A.csv,548,Stage,Desc,,它以乖巧的姿态靠在床沿，暗淡的纽扣眼睛望着虚空。\n小小的身躯承受了主人的全部眼泪，却无法出言安慰。,"Se apoya junto a la cama con una postura sumisa; sus apagados ojos de botón miran fijamente al vacío. \nSu pequeño cuerpo carga con todas las lágrimas de su dueña, pero es incapaz de ofrecer consuelo alguno."
Stage_7852_Name,aVdd,g关卡_Stage_A.csv,549,Stage,Name,,玩偶之泪Ⅲ,Lágrimas de la Muñeca III
Stage_7852_Desc,aVdc,g关卡_Stage_A.csv,549,Stage,Desc,,它以乖巧的姿态靠在床沿，暗淡的纽扣眼睛望着虚空。\n小小的身躯承受了主人的全部眼泪，却无法出言安慰。,"Se apoya junto a la cama con una postura sumisa; sus apagados ojos de botón miran fijamente al vacío. \nSu pequeño cuerpo carga con todas las lágrimas de su dueña, pero es incapaz de ofrecer consuelo alguno."
Stage_7798_Name,aUYx,g关卡_Stage_A.csv,550,Stage,Name,,玩偶之泪Ⅳ,Lágrimas de la Muñeca IV
Stage_7798_Desc,aUYw,g关卡_Stage_A.csv,550,Stage,Desc,,它以乖巧的姿态靠在床沿，暗淡的纽扣眼睛望着虚空。\n小小的身躯承受了主人的全部眼泪，却无法出言安慰。,"Se apoya junto a la cama con una postura sumisa; sus apagados ojos de botón miran fijamente al vacío. \nSu pequeño cuerpo carga con todas las lágrimas de su dueña, pero es incapaz de ofrecer consuelo alguno."
Stage_7656_Name,aUBF,g关卡_Stage_A.csv,551,Stage,Name,,玩偶之泪Ⅴ,Lágrimas de la Muñeca V
Stage_7656_Desc,aUBE,g关卡_Stage_A.csv,551,Stage,Desc,,它以乖巧的姿态靠在床沿，暗淡的纽扣眼睛望着虚空。\n小小的身躯承受了主人的全部眼泪，却无法出言安慰。,"Se apoya junto a la cama con una postura sumisa; sus apagados ojos de botón miran fijamente al vacío. \nSu pequeño cuerpo carga con todas las lágrimas de su dueña, pero es incapaz de ofrecer consuelo alguno."
Stage_7726_Name,aUUd,g关卡_Stage_A.csv,552,Stage,Name,,蜡像之秘Ⅰ,Secretos Esculpidos I
Stage_7726_Desc,aUUc,g关卡_Stage_A.csv,552,Stage,Desc,,它们原本是悲伤、扭曲和懵懂组成的无意识集合，\n却被打扮成幸福的小孩、大人和宠物。\n因着从未品尝过幸福的滋味，它们成了最糟糕的演员。,"Originalmente eran una mezcla inconsciente de tristeza, distorsión e ingenuidad, \npero fueron disfrazados como niños alegres, adultos y mascotas. \nAl no haber probado jamás la felicidad, se convirtieron en los peores actores."
Stage_7877_Name,aVeG,g关卡_Stage_A.csv,553,Stage,Name,,蜡像之秘Ⅱ,Secretos Esculpidos II
Stage_7877_Desc,aVeF,g关卡_Stage_A.csv,553,Stage,Desc,,它们原本是悲伤、扭曲和懵懂组成的无意识集合，\n却被打扮成幸福的小孩、大人和宠物。\n因着从未品尝过幸福的滋味，它们成了最糟糕的演员。,"Originalmente eran una mezcla inconsciente de tristeza, distorsión e ingenuidad, \npero fueron disfrazados como niños alegres, adultos y mascotas. \nAl no haber probado jamás la felicidad, se convirtieron en los peores actores."
Stage_8071_Name,aVpQ,g关卡_Stage_A.csv,554,Stage,Name,,蜡像之秘Ⅲ,Secretos Esculpidos III
Stage_8071_Desc,aVpP,g关卡_Stage_A.csv,554,Stage,Desc,,它们原本是悲伤、扭曲和懵懂组成的无意识集合，\n却被打扮成幸福的小孩、大人和宠物。\n因着从未品尝过幸福的滋味，它们成了最糟糕的演员。,"Originalmente eran una mezcla inconsciente de tristeza, distorsión e ingenuidad, \npero fueron disfrazados como niños alegres, adultos y mascotas. \nAl no haber probado jamás la felicidad, se convirtieron en los peores actores."
Stage_8199_Name,aVxh,g关卡_Stage_A.csv,555,Stage,Name,,蜡像之秘Ⅳ,Secretos Esculpidos IV
Stage_8199_Desc,aVxg,g关卡_Stage_A.csv,555,Stage,Desc,,它们原本是悲伤、扭曲和懵懂组成的无意识集合，\n却被打扮成幸福的小孩、大人和宠物。\n因着从未品尝过幸福的滋味，它们成了最糟糕的演员。,"Originalmente eran una mezcla inconsciente de tristeza, distorsión e ingenuidad, \npero fueron disfrazados como niños alegres, adultos y mascotas. \nAl no haber probado jamás la felicidad, se convirtieron en los peores actores."
Stage_7657_Name,aUBI,g关卡_Stage_A.csv,556,Stage,Name,,蜡像之秘Ⅴ,Secretos Esculpidos V
Stage_7657_Desc,aUBH,g关卡_Stage_A.csv,556,Stage,Desc,,它们原本是悲伤、扭曲和懵懂组成的无意识集合，\n却被打扮成幸福的小孩、大人和宠物。\n因着从未品尝过幸福的滋味，它们成了最糟糕的演员。,"Originalmente eran una mezcla inconsciente de tristeza, distorsión e ingenuidad, \npero fueron disfrazados como niños alegres, adultos y mascotas. \nAl no haber probado jamás la felicidad, se convirtieron en los peores actores."
Stage_8074_Name,aVpZ,g关卡_Stage_A.csv,557,Stage,Name,,漆黑之链Ⅰ,Cadena de Oscuridad I
Stage_8074_Desc,aVpY,g关卡_Stage_A.csv,557,Stage,Desc,,蠕动着、流淌着……原生质的肿泡正从枷锁的缝隙中溜走。\n这是她为「自由」付出的代价。,\nRetorciéndose y fluyendo… El abultamiento primigenio se escurre por las grietas de los grilletes.\nEste es el precio que ella paga por la “libertad”.
Stage_7796_Name,aUYf,g关卡_Stage_A.csv,558,Stage,Name,,漆黑之链Ⅱ,Cadena de Oscuridad II
Stage_7796_Desc,aUYe,g关卡_Stage_A.csv,558,Stage,Desc,,蠕动着、流淌着……原生质的肿泡正从枷锁的缝隙中溜走。\n这是她为「自由」付出的代价。,\nRetorciéndose y fluyendo… El abultamiento primigenio se escurre por las grietas de los grilletes.\nEste es el precio que ella paga por la “libertad”.
Stage_7652_Name,aUBt,g关卡_Stage_A.csv,559,Stage,Name,,漆黑之链Ⅲ,Cadena de Oscuridad III
Stage_7652_Desc,aUBs,g关卡_Stage_A.csv,559,Stage,Desc,,蠕动着、流淌着……原生质的肿泡正从枷锁的缝隙中溜走。\n这是她为「自由」付出的代价。,\nRetorciéndose y fluyendo… El abultamiento primigenio se escurre por las grietas de los grilletes.\nEste es el precio que ella paga por la “libertad”.
Stage_8139_Name,aVtJ,g关卡_Stage_A.csv,560,Stage,Name,,漆黑之链Ⅳ,Cadena de Oscuridad IV
Stage_8139_Desc,aVtI,g关卡_Stage_A.csv,560,Stage,Desc,,蠕动着、流淌着……原生质的肿泡正从枷锁的缝隙中溜走。\n这是她为「自由」付出的代价。,\nRetorciéndose y fluyendo… El abultamiento primigenio se escurre por las grietas de los grilletes.\nEste es el precio que ella paga por la “libertad”.
Stage_7978_Name,aVkD,g关卡_Stage_A.csv,561,Stage,Name,,漆黑之链Ⅴ,Cadena de Oscuridad V
Stage_7978_Desc,aVkC,g关卡_Stage_A.csv,561,Stage,Desc,,蠕动着、流淌着……原生质的肿泡正从枷锁的缝隙中溜走。\n这是她为「自由」付出的代价。,\nRetorciéndose y fluyendo… El abultamiento primigenio se escurre por las grietas de los grilletes.\nEste es el precio que ella paga por la “libertad”.
Stage_8072_Name,aVpT,g关卡_Stage_A.csv,562,Stage,Name,,界外之影Ⅰ,Sombra del Más Allá I
Stage_8072_Desc,aVpS,g关卡_Stage_A.csv,562,Stage,Desc,,它一刻不停地追逐那些打破规则的僭越者。\n至于何为「规则」，何为「打破」？\n猎犬从不思考——那只会阻碍它奔袭的速度。,"Persigue incansablemente a aquellos que rompen las reglas.\n¿Y qué son ""reglas"", qué significa ""romper""? \nEl perro de caza nunca piensa: hacerlo solo ralentizaría su asalto."
Stage_7968_Name,aVjT,g关卡_Stage_A.csv,563,Stage,Name,,界外之影Ⅰ,Sombra del Más Allá II
Stage_7968_Desc,aVjS,g关卡_Stage_A.csv,563,Stage,Desc,,它一刻不停地追逐那些打破规则的僭越者。\n至于何为「规则」，何为「打破」？\n猎犬从不思考——那只会阻碍它奔袭的速度。,"Persigue incansablemente a aquellos que rompen las reglas.\n¿Y qué son ""reglas"", qué significa ""romper""? \nEl perro de caza nunca piensa: hacerlo solo ralentizaría su asalto."
Stage_7752_Name,aUVD,g关卡_Stage_A.csv,564,Stage,Name,,界外之影Ⅱ,Sombra del Más Allá III
Stage_7752_Desc,aUVC,g关卡_Stage_A.csv,564,Stage,Desc,,它一刻不停地追逐那些打破规则的僭越者。\n至于何为「规则」，何为「打破」？\n猎犬从不思考——那只会阻碍它奔袭的速度。,"Persigue incansablemente a aquellos que rompen las reglas.\n¿Y qué son ""reglas"", qué significa ""romper""? \nEl perro de caza nunca piensa: hacerlo solo ralentizaría su asalto."
Stage_7648_Name,aUBh,g关卡_Stage_A.csv,565,Stage,Name,,界外之影Ⅲ,Sombra del Más Allá IV
Stage_7648_Desc,aUBg,g关卡_Stage_A.csv,565,Stage,Desc,,它一刻不停地追逐那些打破规则的僭越者。\n至于何为「规则」，何为「打破」？\n猎犬从不思考——那只会阻碍它奔袭的速度。,"Persigue incansablemente a aquellos que rompen las reglas.\n¿Y qué son ""reglas"", qué significa ""romper""? \nEl perro de caza nunca piensa: hacerlo solo ralentizaría su asalto."
Stage_7861_Name,aVdy,g关卡_Stage_A.csv,566,Stage,Name,,界外之影Ⅳ,Sombra del Más Allá V
Stage_7861_Desc,aVdx,g关卡_Stage_A.csv,566,Stage,Desc,,它一刻不停地追逐那些打破规则的僭越者。\n至于何为「规则」，何为「打破」？\n猎犬从不思考——那只会阻碍它奔袭的速度。,"Persigue incansablemente a aquellos que rompen las reglas.\n¿Y qué son ""reglas"", qué significa ""romper""? \nEl perro de caza nunca piensa: hacerlo solo ralentizaría su asalto."
Stage_7745_Name,aUVi,g关卡_Stage_A.csv,567,Stage,Name,,虔诚之握Ⅰ,Garra Piadosa I
Stage_7745_Desc,aUVh,g关卡_Stage_A.csv,567,Stage,Desc,,她以己身承纳圣骸，以教义训导眷众，以毒牙布散信仰。,"Porta la reliquia sagrada, guía a los fieles con doctrina y propaga la fe con colmillos venenosos.\nSus plegarias nunca cesan; sus llamados jamás terminan."
Stage_7969_Name,aVjW,g关卡_Stage_A.csv,568,Stage,Name,,虔诚之握Ⅰ,Garra Piadosa I
Stage_7969_Desc,aVjV,g关卡_Stage_A.csv,568,Stage,Desc,,她以己身承纳圣骸，以教义训导眷众，以毒牙布散信仰。,"Porta la reliquia sagrada, guía a los fieles con doctrina y propaga la fe con colmillos venenosos.\nSus plegarias nunca cesan; sus llamados jamás terminan."
Stage_7870_Name,aVdZ,g关卡_Stage_A.csv,569,Stage,Name,,虔诚之握Ⅱ,Garra Piadosa II
Stage_7870_Desc,aVdY,g关卡_Stage_A.csv,569,Stage,Desc,,她以己身承纳圣骸，以教义训导眷众，以毒牙布散信仰。,"Porta la reliquia sagrada, guía a los fieles con doctrina y propaga la fe con colmillos venenosos.\nSus plegarias nunca cesan; sus llamados jamás terminan."
Stage_7636_Name,aUzE,g关卡_Stage_A.csv,570,Stage,Name,,虔诚之握Ⅲ,Garra Piadosa III
Stage_7636_Desc,aUzD,g关卡_Stage_A.csv,570,Stage,Desc,,她以己身承纳圣骸，以教义训导眷众，以毒牙布散信仰。,"Porta la reliquia sagrada, guía a los fieles con doctrina y propaga la fe con colmillos venenosos.\nSus plegarias nunca cesan; sus llamados jamás terminan."
Stage_8098_Name,aVrt,g关卡_Stage_A.csv,571,Stage,Name,,虔诚之握Ⅳ,Garra Piadosa IV
Stage_8098_Desc,aVrs,g关卡_Stage_A.csv,571,Stage,Desc,,她以己身承纳圣骸，以教义训导眷众，以毒牙布散信仰。,"Porta la reliquia sagrada, guía a los fieles con doctrina y propaga la fe con colmillos venenosos.\nSus plegarias nunca cesan; sus llamados jamás terminan."
Stage_36132_Name,aSft,g关卡_Stage_A.csv,572,Stage,Name,,圣胎之咏Ⅰ,Himno del Feto Sagrado I
Stage_36132_Desc,aSfs,g关卡_Stage_A.csv,572,Stage,Desc,,不被祝福的孩子在海中吟咏圣歌。\n嘘……请保持安静，切勿惊扰祂的长眠。,El niño no bendecido canta himnos en el mar.\nShh… guarda silencio. No perturbes su sueño.
Stage_36130_Name,aSfn,g关卡_Stage_A.csv,573,Stage,Name,,圣胎之咏Ⅰ,Himno del Feto Sagrado I
Stage_36130_Desc,aSfm,g关卡_Stage_A.csv,573,Stage,Desc,,不被祝福的孩子在海中吟咏圣歌。\n嘘……请保持安静，切勿惊扰祂的长眠。,El niño no bendecido canta himnos en el mar.\nShh… guarda silencio. No perturbes su sueño.
Stage_36131_Name,aSfq,g关卡_Stage_A.csv,574,Stage,Name,,圣胎之咏Ⅰ,Himno del Feto Sagrado I
Stage_36131_Desc,aSfp,g关卡_Stage_A.csv,574,Stage,Desc,,不被祝福的孩子在海中吟咏圣歌。\n嘘……请保持安静，切勿惊扰祂的长眠。,El niño no bendecido canta himnos en el mar.\nShh… guarda silencio. No perturbes su sueño.
Stage_36126_Name,aSfb,g关卡_Stage_A.csv,575,Stage,Name,,圣胎之咏Ⅱ,Himno del Feto Sagrado II
Stage_36126_Desc,aSfa,g关卡_Stage_A.csv,575,Stage,Desc,,不被祝福的孩子在海中吟咏圣歌。\n嘘……请保持安静，切勿惊扰祂的长眠。,El niño no bendecido canta himnos en el mar.\nShh… guarda silencio. No perturbes su sueño.
Stage_36125_Name,aSeY,g关卡_Stage_A.csv,576,Stage,Name,,圣胎之咏Ⅲ,Himno del Feto Sagrado III
Stage_36125_Desc,aSeX,g关卡_Stage_A.csv,576,Stage,Desc,,不被祝福的孩子在海中吟咏圣歌。\n嘘……请保持安静，切勿惊扰祂的长眠。,El niño no bendecido canta himnos en el mar.\nShh… guarda silencio. No perturbes su sueño.
Stage_49159_Name,aSzY,g关卡_Stage_A.csv,577,Stage,Name,,沙海遗存Ⅰ,Reliquias de la Arena I
Stage_49159_Desc,aSzX,g关卡_Stage_A.csv,577,Stage,Desc,,母树的幻影于银色火焰中轰然倒塌，但祂的血脉终将在根系中复苏。,"El fantasma del Árbol Madre colapsa entre llamas plateadas, pero su linaje resurgirá en las raíces."
Stage_49161_Name,aSAe,g关卡_Stage_A.csv,578,Stage,Name,,沙海遗存Ⅰ,Reliquias de la Arena I
Stage_49161_Desc,aSAd,g关卡_Stage_A.csv,578,Stage,Desc,,母树的幻影于银色火焰中轰然倒塌，但祂的血脉终将在根系中复苏。,"El fantasma del Árbol Madre colapsa entre llamas plateadas, pero su linaje resurgirá en las raíces."
Stage_49160_Name,aSAb,g关卡_Stage_A.csv,579,Stage,Name,,沙海遗存Ⅰ,Reliquias de la Arena I
Stage_49160_Desc,aSAa,g关卡_Stage_A.csv,579,Stage,Desc,,母树的幻影于银色火焰中轰然倒塌，但祂的血脉终将在根系中复苏。,"El fantasma del Árbol Madre colapsa entre llamas plateadas, pero su linaje resurgirá en las raíces."
Stage_49165_Name,aSAq,g关卡_Stage_A.csv,580,Stage,Name,,沙海遗存Ⅱ,Reliquias de la Arena II
Stage_49165_Desc,aSAp,g关卡_Stage_A.csv,580,Stage,Desc,,母树的幻影于银色火焰中轰然倒塌，但祂的血脉终将在根系中复苏。,"El fantasma del Árbol Madre colapsa entre llamas plateadas, pero su linaje resurgirá en las raíces."
Stage_49165_StageInitStateText,aSAr,g关卡_Stage_A.csv,580,Stage,StageInitStateText,,繁育,Proliferación
Stage_49167_Name,aSAw,g关卡_Stage_A.csv,581,Stage,Name,,沙海遗存Ⅲ,Reliquias de la Arena III
Stage_49167_Desc,aSAv,g关卡_Stage_A.csv,581,Stage,Desc,,母树的幻影于银色火焰中轰然倒塌，但祂的血脉终将在根系中复苏。,"El fantasma del Árbol Madre colapsa entre llamas plateadas, pero su linaje resurgirá en las raíces."
Stage_49167_StageInitStateText,aSAx,g关卡_Stage_A.csv,581,Stage,StageInitStateText,,繁育,Proliferación
Stage_59076_Name,aTLF,g关卡_Stage_A.csv,582,Stage,Name,,黑池之潮Ⅰ,Marea del Pozo Negro I
Stage_59076_Desc,aTLE,g关卡_Stage_A.csv,582,Stage,Desc,,黑色的池水狂躁地舞动，迎接它们最初的、唯一的主人。,"El agua negra danza frenéticamente, dando la bienvenida a su amo original y único."
Stage_59070_Name,aTLn,g关卡_Stage_A.csv,583,Stage,Name,,黑池之潮Ⅰ,Marea del Pozo Negro I
Stage_59070_Desc,aTLm,g关卡_Stage_A.csv,583,Stage,Desc,,黑色的池水狂躁地舞动，迎接它们最初的、唯一的主人。,"El agua negra danza frenéticamente, dando la bienvenida a su amo original y único."
Stage_59074_Name,aTLz,g关卡_Stage_A.csv,584,Stage,Name,,黑池之潮Ⅰ,Marea del Pozo Negro I
Stage_59074_Desc,aTLy,g关卡_Stage_A.csv,584,Stage,Desc,,黑色的池水狂躁地舞动，迎接它们最初的、唯一的主人。,"El agua negra danza frenéticamente, dando la bienvenida a su amo original y único."
Stage_59058_Name,aTKD,g关卡_Stage_A.csv,585,Stage,Name,,黑池之潮Ⅰ,Marea del Pozo Negro I
Stage_59058_Desc,aTKC,g关卡_Stage_A.csv,585,Stage,Desc,,黑色的池水狂躁地舞动，迎接它们最初的、唯一的主人。,"El agua negra danza frenéticamente, dando la bienvenida a su amo original y único."
Stage_59073_Name,aTLw,g关卡_Stage_A.csv,586,Stage,Name,,黑池之潮Ⅱ,Marea del Pozo Negro II
Stage_59073_Desc,aTLv,g关卡_Stage_A.csv,586,Stage,Desc,,黑色的池水狂躁地舞动，迎接它们最初的、唯一的主人。,"El agua negra danza frenéticamente, dando la bienvenida a su amo original y único."
StageGroup_15945_Name,aRdu,g关卡组_StageGroup_A.csv,54,StageGroup,Name,,玩偶之泪,Lágrimas de la Muñeca
StageGroup_15945_Desc,aRdt,g关卡组_StageGroup_A.csv,54,StageGroup,Desc,,它以乖巧的姿态靠在床沿，暗淡的纽扣眼睛望着虚空。\n小小的身躯承受了主人的全部眼泪，却无法出言安慰。,"Se apoya junto a la cama con una postura sumisa; sus apagados ojos de botón miran fijamente al vacío. \nSu pequeño cuerpo carga con todas las lágrimas de su dueña, pero es incapaz de ofrecer consuelo alguno."
StageGroup_15945_TypeText,aRdw,g关卡组_StageGroup_A.csv,54,StageGroup,TypeText,,玩偶之泪,Lágrimas de la Muñeca
StageGroup_15945_StageGroupRewardDescription,aRdv,g关卡组_StageGroup_A.csv,54,StageGroup,StageGroupRewardDescription,,<Black:高阶技能素材>,<Black:Materiales de Habilidad Avanzada>
StageGroup_15892_Name,aQZq,g关卡组_StageGroup_A.csv,55,StageGroup,Name,,蜡像之秘,Secretos Esculpidos
StageGroup_15892_Desc,aQZp,g关卡组_StageGroup_A.csv,55,StageGroup,Desc,,它们原本是悲伤、扭曲和懵懂组成的无意识集合，\n却被打扮成幸福的小孩、大人和宠物。\n因着从未品尝过幸福的滋味，它们成了最糟糕的演员。,"Originalmente eran una mezcla inconsciente de tristeza, distorsión e ingenuidad, \npero fueron disfrazados como niños alegres, adultos y mascotas. \nAl no haber probado jamás la felicidad, se convirtieron en los peores actores."
StageGroup_15892_TypeText,aQZs,g关卡组_StageGroup_A.csv,55,StageGroup,TypeText,,蜡像之秘,Secretos Esculpidos
StageGroup_15892_StageGroupRewardDescription,aQZr,g关卡组_StageGroup_A.csv,55,StageGroup,StageGroupRewardDescription,,<Black:高阶技能素材>,<Black:Materiales de Habilidad Avanzada>
StageGroup_15878_Name,aQYm,g关卡组_StageGroup_A.csv,56,StageGroup,Name,,漆黑之链,Cadena de Oscuridad
StageGroup_15878_Desc,aQYl,g关卡组_StageGroup_A.csv,56,StageGroup,Desc,,蠕动着、流淌着……原生质的肿泡正从枷锁的缝隙中溜走。\n这是她为「自由」付出的代价。,\nRetorciéndose y fluyendo… El abultamiento primigenio se escurre por las grietas de los grilletes.\nEste es el precio que ella paga por la “libertad”.
StageGroup_15878_TypeText,aQYo,g关卡组_StageGroup_A.csv,56,StageGroup,TypeText,,漆黑之链,Cadena de Oscuridad
StageGroup_15878_StageGroupRewardDescription,aQYn,g关卡组_StageGroup_A.csv,56,StageGroup,StageGroupRewardDescription,,<Black:高阶技能素材>,<Black:Materiales de Habilidad Avanzada>
StageGroup_15909_Name,aRaG,g关卡组_StageGroup_A.csv,57,StageGroup,Name,,界外之影,Sombra del Más Allá
StageGroup_15909_Desc,aRaF,g关卡组_StageGroup_A.csv,57,StageGroup,Desc,,它一刻不停地追逐那些打破规则的僭越者。\n至于何为「规则」，何为「打破」？\n猎犬从不思考——那只会阻碍它奔袭的速度。,"Persigue incansablemente a aquellos que rompen las reglas.\n¿Y qué son ""reglas"", qué significa ""romper""? \nEl perro de caza nunca piensa: hacerlo solo ralentizaría su asalto."
