Key,ShortKey,Source,Row,Module,Field,Role,CN,TH
FeatureUnlock_16978_LockTip,aCmZ,g功能解锁_FeatureUnlock_A.csv,66,FeatureUnlock,LockTip,,完成 「调查行动」第2章·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" บทที่ 2: ปกติ"
FeatureUnlock_16960_FeatureName,aClW,g功能解锁_FeatureUnlock_A.csv,67,FeatureUnlock,FeatureName,,错乱异镇,เมืองวิกล
FeatureUnlock_16960_LockTip,aClX,g功能解锁_FeatureUnlock_A.csv,67,FeatureUnlock,LockTip,,完成 「调查行动」第3章·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" บทที่ 3: ปกติ"
FeatureUnlock_16969_FeatureName,aCmx,g功能解锁_FeatureUnlock_A.csv,68,FeatureUnlock,FeatureName,,失序山脉,เทือกเขาไร้ระเบียบ
FeatureUnlock_16969_LockTip,aCmy,g功能解锁_FeatureUnlock_A.csv,68,FeatureUnlock,LockTip,,完成 「调查行动」第4章·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" บทที่ 4: ปกติ"
FeatureUnlock_17071_FeatureName,aCsr,g功能解锁_FeatureUnlock_A.csv,69,FeatureUnlock,FeatureName,,暗海之舟,นาวาเหนือคลื่นทมิฬ
FeatureUnlock_17071_LockTip,aCss,g功能解锁_FeatureUnlock_A.csv,69,FeatureUnlock,LockTip,,完成 「调查行动」第5章·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" บทที่ 5: ปกติ"
FeatureUnlock_17033_FeatureName,aCqh,g功能解锁_FeatureUnlock_A.csv,70,FeatureUnlock,FeatureName,,风暴外海,ทะเลนอกเขตมรสุม
FeatureUnlock_17033_LockTip,aCqi,g功能解锁_FeatureUnlock_A.csv,70,FeatureUnlock,LockTip,,完成 「调查行动」第6章·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" บทที่ 6: ปกติ"
FeatureUnlock_49171_FeatureName,aCwt,g功能解锁_FeatureUnlock_A.csv,71,FeatureUnlock,FeatureName,,荒沙之壁,กำแพงทรายรกร้าง
FeatureUnlock_49171_LockTip,aCwu,g功能解锁_FeatureUnlock_A.csv,71,FeatureUnlock,LockTip,,完成 「调查行动」第7章·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" บทที่ 7: ปกติ"
FeatureUnlock_58913_FeatureName,aCzL,g功能解锁_FeatureUnlock_A.csv,72,FeatureUnlock,FeatureName,,原初裂隙,รอยแยกปฐมภูมิ
FeatureUnlock_58913_LockTip,aCzM,g功能解锁_FeatureUnlock_A.csv,72,FeatureUnlock,LockTip,,完成 「调查行动」第8章·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" บทที่ 8: ปกติ"
FeatureUnlock_16970_UnlockDesc,aCmC,g功能解锁_FeatureUnlock_A.csv,75,FeatureUnlock,UnlockDesc,,<FeatureUnlockTitle:无光之境已开启>\n\n<FeatureUnlockDesc:在漆黑的视界里寻找真相。\n守密人可派出不同界域的队伍挑战，获取丰厚奖励。>,<FeatureUnlockTitle:ดินแดนไร้แสงได้เปิดแล้ว>\n\n<FeatureUnlockDesc:ค้นหาความจริงในโลกที่มืดมิด\nผู้พิทักษ์ความลับสามารถส่งทีมจากดินแดนต่าง ๆ เพื่อท้าทายและรับรางวัลมากมาย>
FeatureUnlock_16970_LockTip,aCmB,g功能解锁_FeatureUnlock_A.csv,75,FeatureUnlock,LockTip,,完成 「调查行动」2-4·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 2-4: ปกติ"
FeatureUnlock_17065_FeatureName,aCrZ,g功能解锁_FeatureUnlock_A.csv,76,FeatureUnlock,FeatureName,,深海之遗·间隙,มรดกแห่งห้วงทะเลลึก: รอยแยก
FeatureUnlock_17065_LockTip,aCsa,g功能解锁_FeatureUnlock_A.csv,76,FeatureUnlock,LockTip,,完成 「调查行动」2-4·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 2-4: ปกติ"
FeatureUnlock_17009_FeatureName,aCoN,g功能解锁_FeatureUnlock_A.csv,77,FeatureUnlock,FeatureName,,血肉之沼·间隙,บึงเลือดเนื้อ: รอยแยก
FeatureUnlock_17009_LockTip,aCoO,g功能解锁_FeatureUnlock_A.csv,77,FeatureUnlock,LockTip,,完成 「调查行动」2-4·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 2-4: ปกติ"
FeatureUnlock_17063_FeatureName,aCrT,g功能解锁_FeatureUnlock_A.csv,78,FeatureUnlock,FeatureName,,超维之旅·间隙,ผจญห้วงมิติ: รอยแยก
FeatureUnlock_17063_LockTip,aCrU,g功能解锁_FeatureUnlock_A.csv,78,FeatureUnlock,LockTip,,完成 「调查行动」2-4·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 2-4: ปกติ"
FeatureUnlock_17067_FeatureName,aCsf,g功能解锁_FeatureUnlock_A.csv,79,FeatureUnlock,FeatureName,,混沌之域·间隙,ดินแดนโกลาหล: รอยแยก
FeatureUnlock_17067_LockTip,aCsg,g功能解锁_FeatureUnlock_A.csv,79,FeatureUnlock,LockTip,,完成 「调查行动」2-4·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 2-4: ปกติ"
FeatureUnlock_21452_FeatureName,aCtC,g功能解锁_FeatureUnlock_A.csv,96,FeatureUnlock,FeatureName,,超验存在,สิ่งดำรงอยู่เหนือการรับรู้
FeatureUnlock_21452_UnlockDesc,aCtE,g功能解锁_FeatureUnlock_A.csv,96,FeatureUnlock,UnlockDesc,,<FeatureUnlockTitle:超验存在已开启>\n\n<FeatureUnlockDesc:祂们是无视一切规则与因果的禁忌存在。\n消耗灵啡肽进行挑战，可以获得更珍稀的唤醒体技能升级材料。>,<FeatureUnlockTitle:สิ่งที่ดำรงอยู่เหนือการรับรู้ได้เปิดแล้ว>\n\n<FeatureUnlockDesc:พวกมันคือสิ่งมีชีวิตต้องห้ามที่เพิกเฉยต่อกฎเกณฑ์และเหตุผลทั้งมวล\nใช้เมโนฟินเพื่อท้าทายพวกมันเพื่อรับวัสดุอัปเกรดสกิลที่หายากของผู้ปลุกตื่น>
FeatureUnlock_21452_LockTip,aCtD,g功能解锁_FeatureUnlock_A.csv,96,FeatureUnlock,LockTip,,完成 「调查行动」3-10·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 3-10: ปกติ"
FeatureUnlock_17072_FeatureName,aCsu,g功能解锁_FeatureUnlock_A.csv,97,FeatureUnlock,FeatureName,,玩偶之泪,น้ำตาของตุ๊กตา
FeatureUnlock_17072_LockTip,aCsv,g功能解锁_FeatureUnlock_A.csv,97,FeatureUnlock,LockTip,,完成 「调查行动」3-10·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 3-10: ปกติ"
FeatureUnlock_16982_LockTip,aCnl,g功能解锁_FeatureUnlock_A.csv,98,FeatureUnlock,LockTip,,完成 「调查行动」3-10·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" 3-10: ปกติ"
FeatureUnlock_16964_FeatureName,aCmi,g功能解锁_FeatureUnlock_A.csv,99,FeatureUnlock,FeatureName,,漆黑之链,พันธนาอนธการ
FeatureUnlock_16964_LockTip,aCmj,g功能解锁_FeatureUnlock_A.csv,99,FeatureUnlock,LockTip,,完成 「调查行动」第3章·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" บทที่ 3: ปกติ"
FeatureUnlock_17011_FeatureName,aCoT,g功能解锁_FeatureUnlock_A.csv,100,FeatureUnlock,FeatureName,,界外之影,เงาทมิฬจากแดนไกล
FeatureUnlock_17011_LockTip,aCoU,g功能解锁_FeatureUnlock_A.csv,100,FeatureUnlock,LockTip,,完成 「调查行动」第4章·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" บทที่ 4: ปกติ"
FeatureUnlock_16996_FeatureName,aCoa,g功能解锁_FeatureUnlock_A.csv,101,FeatureUnlock,FeatureName,,虔诚之握,อ้อมกอดแห่งศรัทธา
FeatureUnlock_16996_LockTip,aCob,g功能解锁_FeatureUnlock_A.csv,101,FeatureUnlock,LockTip,,完成 「调查行动」第5章·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" บทที่ 5: ปกติ"
FeatureUnlock_17039_FeatureName,aCqz,g功能解锁_FeatureUnlock_A.csv,102,FeatureUnlock,FeatureName,,圣胎之咏,บทสรรเสริญแห่งครรภ์ศักดิ์สิทธิ์
FeatureUnlock_17039_LockTip,aCqA,g功能解锁_FeatureUnlock_A.csv,102,FeatureUnlock,LockTip,,完成 「调查行动」第6章·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" บทที่ 6: ปกติ"
FeatureUnlock_49170_FeatureName,aCwq,g功能解锁_FeatureUnlock_A.csv,103,FeatureUnlock,FeatureName,,沙海遗存,มรดกในทะเลทราย
FeatureUnlock_49170_LockTip,aCwr,g功能解锁_FeatureUnlock_A.csv,103,FeatureUnlock,LockTip,,完成 「调查行动」第7章·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" บทที่ 7: ปกติ"
FeatureUnlock_58914_FeatureName,aCzO,g功能解锁_FeatureUnlock_A.csv,104,FeatureUnlock,FeatureName,,黑池之潮,กระแสน้ำในสระดำ
FeatureUnlock_58914_LockTip,aCzP,g功能解锁_FeatureUnlock_A.csv,104,FeatureUnlock,LockTip,,完成 「调查行动」第8章·普通 后解锁,"ปลดล็อกเมื่อเสร็จสิ้นเควส ""ภารกิจสืบสวน"" บทที่ 8: ปกติ"
LanguageConfig_MainInterface_Btn_TrinketCopy_CN,aGQd,d多语言_LanguageConfig_C.csv,317,LanguageConfig,CN,,禁忌纂录,ตำราต้องห้าม
LanguageConfig_MainInterface_Btn_BOSS_CN,aGPZ,d多语言_LanguageConfig_C.csv,322,LanguageConfig,CN,,超验存在,สิ่งดำรงอยู่เหนือการรับรู้
LanguageConfig_DailyCopy_Str_Money_Title_CN,aGIK,d多语言_LanguageConfig_C.csv,325,LanguageConfig,CN,,金券搜查,เสาะหาคูปองกุหลาบทองคำ
LanguageConfig_DailyCopy_Str_Ocean_Title_CN,aGIL,d多语言_LanguageConfig_C.csv,327,LanguageConfig,CN,,海渊残像,เงาตกค้างก้นสมุทร
LanguageConfig_DailyCopy_Str_Blood_Title_CN,aGIG,d多语言_LanguageConfig_C.csv,328,LanguageConfig,CN,,器质残像,เงาตกค้างแห่งกายา
LanguageConfig_DailyCopy_Str_Dimension_Title_CN,aGII,d多语言_LanguageConfig_C.csv,329,LanguageConfig,CN,,维度残像,เงาตกค้างห้วงมิติ
LanguageConfig_WeeklyBossInstructions_CN,aHpd,d多语言_LanguageConfig_C.csv,1351,LanguageConfig,CN,,\n<Title:奖励次数>\n·每周一9点(GMT+8)奖励次数重置，通关任意「超验存在」的关卡后将消耗1次奖励次数获得任务报酬奖励。\n·未使用的奖励次数将不会继承到下一周。\n\n<Title:重现>\n·首次完成「超验存在」关卡挑战后将解锁重现，重现将消耗1次奖励次数并直接获得任务报酬奖励。\n·若三星通关高难度关卡，则较低难度的关卡挑战进度会自动标记为三星通关。,"\n<Title:จำนวนครั้งในการรับรางวัล>\n·จำนวนครั้งในการรับรางวัลจะรีเซ็ตทุกวันจันทร์ เวลา 9:00 น. (GMT+8) หลังจากผ่านด่าน ""สิ่งดำรงอยู่เหนือการรับรู้"" ใดๆ ได้สำเร็จ จะใช้จำนวนครั้งในการรับรางวัล 1 ครั้ง เพื่อรับรางวัลค่าตอบแทนภารกิจ\nจำนวนครั้งในการรับรางวัลที่ไม่ได้ใช้ จะไม่ถูกยกยอดไปยังสัปดาห์ถัดไป\n\n<Title:การลงด่วน>\n·การลงด่วนจะปลดล็อกหลังจากผ่านด่าน ""สิ่งดำรงอยู่เหนือการรับรู้"" เป็นครั้งแรก การลงด่วนจะใช้สิทธิ์ในการรับรางวัล 1 ครั้ง และจะมอบรางวัลภารกิจให้ทันที \nหากผ่านด่านที่มีความยากระดับสูงด้วยคะแนนสามดาว ด่านที่มีระดับความยากต่ำกว่าจะถูกบันทึกผลคะแนนให้เป็นสามดาวให้โดยอัตโนมัติ"
LanguageConfig_WeeklyBossTitle_CN,aHpe,d多语言_LanguageConfig_C.csv,1352,LanguageConfig,CN,,规则说明,กฎกติกา
LanguageConfig_WeeklyBoss_LvLimit_CN,aHpf,d多语言_LanguageConfig_C.csv,1353,LanguageConfig,CN,,调查等级达到{s1}解锁,ปลดล็อคเมื่อเลเวลการสืบสวนถึง {s1}
LanguageConfig_DailyCopyRules_CN,aGIE,d多语言_LanguageConfig_C.csv,2930,LanguageConfig,CN,,1、融蚀之墟内通关对应的关卡后来获得大量唤醒体升格素材、灵知制剂和蔷薇金券!\n2、完成关卡挑战后解锁重现，重现可以立即获得该关卡的任务报酬。每次重现需消耗等同于进行调查所需的灵啡肽。\n3、在调查等级达到 20 级后解锁技能素材关卡。\n4、若三星通关高难度关卡，则较低难度的关卡挑战进度会自动标记为三星通关。,1. ผ่านด่านในซากปรักหักพังกร่อนสลาย เพื่อรับวัสดุอัพเกรดผู้ปลุกตื่น สารสกัดญาณทัศนะ และคูปองกุหลาบทองคำจำนวนมาก!2. หลังจากผ่านด่านใดด่านหนึ่งของเลเวลนั้นสำเร็จ จะปลดล็อกโหมดลงด่วน ซึ่งจะช่วยให้คุณได้รับรางวัลสำหรับเลเวลนั้นทันที การลงด่วนแต่ละครั้งจะใช้เมโนฟินในปริมาณที่เทียบเท่ากับปริมาณที่ใช้ในการลงด่านสืบสวนปกติ\n3. สำหรับด่านวัสดุอัปเกรดสกิลจะปลดล็อกเมื่อเลเวลการสืบสวนถึง 20\n4. หากผ่านด่านที่มีความยากระดับสูงด้วยคะแนนสามดาว ด่านที่มีระดับความยากต่ำกว่าจะถูกบันทึกผลคะแนนให้เป็นสามดาวให้โดยอัตโนมัติ
LanguageConfig_TrinketCopyRules_CN,aHmA,d多语言_LanguageConfig_C.csv,2931,LanguageConfig,CN,,1、禁忌纂录内通关关卡后可以获得密契！\n2、不同推荐等级的关卡可以获得不同数量的密契。\n·推荐等级 25 级的关卡可以获得 1 个密契。\n·推荐等级 35 级的关卡可以获得 2 个密契。\n·推荐等级 45 级的关卡可以获得 3 个密契。\n3、完成关卡挑战后解锁重现，重现可以立即获得该关卡的任务报酬。每次重现需消耗等同于进行调查所需的灵啡肽。\n4、每通关一章调查事件就解锁一个密契关卡。\n5、若三星通关高难度关卡，则较低难度的关卡挑战进度会自动标记为三星通关。,1. ผ่านด่านในตำราต้องห้ามเพื่อรับพันธสัญญา!\n2. ด่านที่มีเลเวลแนะนำต่างกันจะได้รับจำนวนพันธสัญญาที่แตกต่างกัน\n· ด่านที่เลเวลแนะนำ 25 จะได้รับพันธสัญญา 1 ชิ้น\n· ด่านที่เลเวลแนะนำ 35 จะได้รับพันธสัญญา 2 ชิ้น\n· ด่านที่เลเวลแนะนำ 45 จะได้รับพันธสัญญา 3 ชิ้น\n3. ลังจากผ่านด่านใดด่านหนึ่งของเลเวลนั้นสำเร็จ จะปลดล็อกโหมดลงด่วน ซึ่งจะช่วยให้คุณได้รับรางวัลสำหรับเลเวลนั้นทันที การลงด่วนแต่ละครั้งจะใช้เมโนฟินในปริมาณที่เทียบเท่ากับปริมาณที่ใช้ในการลงด่านสืบสวนปกติ\n4. ทุกครั้งที่ผ่านภารกิจสืบสวนแต่ละบทจะปลดล็อคด่านพันธสัญญาใหม่เสมอ\n5. หากผ่านด่านที่มีความยากระดับสูงด้วยคะแนนสามดาว ด่านที่มีระดับความยากต่ำกว่าจะถูกบันทึกผลคะแนนให้เป็นสามดาวให้โดยอัตโนมัติ
PanelText_UI_Research_Panel_Dispatch_Item_Text_C_Unclickable_Content,aIWx,j界面文字表_PanelText_C.csv,901,PanelText,Content,,未解锁,ล็อก
PanelText_UI_Research_Panel_Dispatch_Content_Text_C_Extra_Content,aIWr,j界面文字表_PanelText_C.csv,903,PanelText,Content,,【额外】,[เพิ่มเติม]
PanelText_UI_Research_Panel_Dispatch_Content_Text_C_NoTask_Content,aIWs,j界面文字表_PanelText_C.csv,904,PanelText,Content,,暂时没有新的派遣任务,ยังไม่มีภารกิจมอบหมายใหม่ในขณะนี้
PanelText_UI_Research_Panel_Dispatch_Content_Text_C_Special2_Content,aIWt,j界面文字表_PanelText_C.csv,905,PanelText,Content,,派遣总等级每超出20级，可获得1份额外奖励,เลเวลรวมการมอบหมายภารกิจที่เกิน 20 จะได้รับรางวัลเพิ่มเติม 1 ชิ้น
PanelText_UI_Research_Panel_Dispatch_Content_Text_C_Count_Content,aIWq,j界面文字表_PanelText_C.csv,906,PanelText,Content,,规则说明,กฎกติกา
PanelText_UI_Research_Panel_Dispatch_Content_Text_C_Award_Content,aIWp,j界面文字表_PanelText_C.csv,907,PanelText,Content,,任务报酬,ค่าตอบแทน
PanelText_UI_Research_Popup_Recall_Text_C_Special2_Content,aIWM,j界面文字表_PanelText_C.csv,908,PanelText,Content,,派遣总等级每超出20级，可获得1份额外奖励,เลเวลรวมการมอบหมายภารกิจที่เกิน 20 จะได้รับรางวัลเพิ่มเติม 1 ชิ้น
Stage_7727_Desc,aUUf,g关卡_Stage_A.csv,547,Stage,Desc,,它以乖巧的姿态靠在床沿，暗淡的纽扣眼睛望着虚空。\n小小的身躯承受了主人的全部眼泪，却无法出言安慰。,มันเอนตัวพิงขอบเตียงด้วยท่าทางอ่อนโยน ดวงตากระดุมหมองมัวจ้องมองความว่างเปล่า\nร่างเล็กๆ ของมันรองรับน้ำตาทั้งหมดของเจ้าของไว้ แต่กลับไม่สามารถเอ่ยคำปลอบโยนออกมาได้เลย
Stage_7949_Name,aViO,g关卡_Stage_A.csv,548,Stage,Name,,玩偶之泪Ⅱ,น้ำตาของตุ๊กตา II
Stage_7949_Desc,aViN,g关卡_Stage_A.csv,548,Stage,Desc,,它以乖巧的姿态靠在床沿，暗淡的纽扣眼睛望着虚空。\n小小的身躯承受了主人的全部眼泪，却无法出言安慰。,มันเอนตัวพิงขอบเตียงด้วยท่าทางอ่อนโยน ดวงตากระดุมหมองมัวจ้องมองความว่างเปล่า\nร่างเล็กๆ ของมันรองรับน้ำตาทั้งหมดของเจ้าของไว้ แต่กลับไม่สามารถเอ่ยคำปลอบโยนออกมาได้เลย
Stage_7852_Name,aVdd,g关卡_Stage_A.csv,549,Stage,Name,,玩偶之泪Ⅲ,น้ำตาของตุ๊กตา III
Stage_7852_Desc,aVdc,g关卡_Stage_A.csv,549,Stage,Desc,,它以乖巧的姿态靠在床沿，暗淡的纽扣眼睛望着虚空。\n小小的身躯承受了主人的全部眼泪，却无法出言安慰。,มันเอนตัวพิงขอบเตียงด้วยท่าทางอ่อนโยน ดวงตากระดุมหมองมัวจ้องมองความว่างเปล่า\nร่างเล็กๆ ของมันรองรับน้ำตาทั้งหมดของเจ้าของไว้ แต่กลับไม่สามารถเอ่ยคำปลอบโยนออกมาได้เลย
Stage_7798_Name,aUYx,g关卡_Stage_A.csv,550,Stage,Name,,玩偶之泪Ⅳ,น้ำตาของตุ๊กตา IV
Stage_7798_Desc,aUYw,g关卡_Stage_A.csv,550,Stage,Desc,,它以乖巧的姿态靠在床沿，暗淡的纽扣眼睛望着虚空。\n小小的身躯承受了主人的全部眼泪，却无法出言安慰。,มันเอนตัวพิงขอบเตียงด้วยท่าทางอ่อนโยน ดวงตากระดุมหมองมัวจ้องมองความว่างเปล่า\nร่างเล็กๆ ของมันรองรับน้ำตาทั้งหมดของเจ้าของไว้ แต่กลับไม่สามารถเอ่ยคำปลอบโยนออกมาได้เลย
Stage_7656_Name,aUBF,g关卡_Stage_A.csv,551,Stage,Name,,玩偶之泪Ⅴ,น้ำตาของตุ๊กตา V
Stage_7656_Desc,aUBE,g关卡_Stage_A.csv,551,Stage,Desc,,它以乖巧的姿态靠在床沿，暗淡的纽扣眼睛望着虚空。\n小小的身躯承受了主人的全部眼泪，却无法出言安慰。,มันเอนตัวพิงขอบเตียงด้วยท่าทางอ่อนโยน ดวงตากระดุมหมองมัวจ้องมองความว่างเปล่า\nร่างเล็กๆ ของมันรองรับน้ำตาทั้งหมดของเจ้าของไว้ แต่กลับไม่สามารถเอ่ยคำปลอบโยนออกมาได้เลย
Stage_7726_Name,aUUd,g关卡_Stage_A.csv,552,Stage,Name,,蜡像之秘Ⅰ,ความลับของหุ่นขี้ผึ้ง I
Stage_7726_Desc,aUUc,g关卡_Stage_A.csv,552,Stage,Desc,,它们原本是悲伤、扭曲和懵懂组成的无意识集合，\n却被打扮成幸福的小孩、大人和宠物。\n因着从未品尝过幸福的滋味，它们成了最糟糕的演员。,เดิมทีพวกมันคือศูนย์รวมของจิตไร้สำนึกที่ประกอบด้วยความเศร้า ความบิดเบี้ยว และความเขลา\nแต่กลับถูกจับแต่งให้เป็นเด็ก ผู้ใหญ่ หรือสัตว์เลี้ยงที่มีความสุขและสดใส\nด้วยเหตุที่พวกมันไม่เคยลิ้มรสความสุขที่แท้จริง พวกมันจึงกลายเป็นนักแสดงที่แย่ที่สุด
Stage_7877_Name,aVeG,g关卡_Stage_A.csv,553,Stage,Name,,蜡像之秘Ⅱ,ความลับของหุ่นขี้ผึ้ง II
Stage_7877_Desc,aVeF,g关卡_Stage_A.csv,553,Stage,Desc,,它们原本是悲伤、扭曲和懵懂组成的无意识集合，\n却被打扮成幸福的小孩、大人和宠物。\n因着从未品尝过幸福的滋味，它们成了最糟糕的演员。,เดิมทีพวกมันคือศูนย์รวมของจิตไร้สำนึกที่ประกอบด้วยความเศร้า ความบิดเบี้ยว และความเขลา\nแต่กลับถูกจับแต่งให้เป็นเด็ก ผู้ใหญ่ หรือสัตว์เลี้ยงที่มีความสุขและสดใส\nด้วยเหตุที่พวกมันไม่เคยลิ้มรสความสุขที่แท้จริง พวกมันจึงกลายเป็นนักแสดงที่แย่ที่สุด
Stage_8071_Name,aVpQ,g关卡_Stage_A.csv,554,Stage,Name,,蜡像之秘Ⅲ,ความลับของหุ่นขี้ผึ้ง III
Stage_8071_Desc,aVpP,g关卡_Stage_A.csv,554,Stage,Desc,,它们原本是悲伤、扭曲和懵懂组成的无意识集合，\n却被打扮成幸福的小孩、大人和宠物。\n因着从未品尝过幸福的滋味，它们成了最糟糕的演员。,เดิมทีพวกมันคือศูนย์รวมของจิตไร้สำนึกที่ประกอบด้วยความเศร้า ความบิดเบี้ยว และความเขลา\nแต่กลับถูกจับแต่งให้เป็นเด็ก ผู้ใหญ่ หรือสัตว์เลี้ยงที่มีความสุขและสดใส\nด้วยเหตุที่พวกมันไม่เคยลิ้มรสความสุขที่แท้จริง พวกมันจึงกลายเป็นนักแสดงที่แย่ที่สุด
Stage_8199_Name,aVxh,g关卡_Stage_A.csv,555,Stage,Name,,蜡像之秘Ⅳ,ความลับของหุ่นขี้ผึ้ง IV
Stage_8199_Desc,aVxg,g关卡_Stage_A.csv,555,Stage,Desc,,它们原本是悲伤、扭曲和懵懂组成的无意识集合，\n却被打扮成幸福的小孩、大人和宠物。\n因着从未品尝过幸福的滋味，它们成了最糟糕的演员。,เดิมทีพวกมันคือศูนย์รวมของจิตไร้สำนึกที่ประกอบด้วยความเศร้า ความบิดเบี้ยว และความเขลา\nแต่กลับถูกจับแต่งให้เป็นเด็ก ผู้ใหญ่ หรือสัตว์เลี้ยงที่มีความสุขและสดใส\nด้วยเหตุที่พวกมันไม่เคยลิ้มรสความสุขที่แท้จริง พวกมันจึงกลายเป็นนักแสดงที่แย่ที่สุด
Stage_7657_Name,aUBI,g关卡_Stage_A.csv,556,Stage,Name,,蜡像之秘Ⅴ,ความลับของหุ่นขี้ผึ้ง V
Stage_7657_Desc,aUBH,g关卡_Stage_A.csv,556,Stage,Desc,,它们原本是悲伤、扭曲和懵懂组成的无意识集合，\n却被打扮成幸福的小孩、大人和宠物。\n因着从未品尝过幸福的滋味，它们成了最糟糕的演员。,เดิมทีพวกมันคือศูนย์รวมของจิตไร้สำนึกที่ประกอบด้วยความเศร้า ความบิดเบี้ยว และความเขลา\nแต่กลับถูกจับแต่งให้เป็นเด็ก ผู้ใหญ่ หรือสัตว์เลี้ยงที่มีความสุขและสดใส\nด้วยเหตุที่พวกมันไม่เคยลิ้มรสความสุขที่แท้จริง พวกมันจึงกลายเป็นนักแสดงที่แย่ที่สุด
