Key,ShortKey,Source,Row,Module,Field,Role,CN,EN
Event_7028_Desc,azpk,s事件_Event_A.csv,410,Event,Desc,,听到你的声音，人影停了下来，克莱门汀的声音穿透水雾而来。\n「是你啊，」她的模模糊糊，朦朦胧胧，像是被水化开的月光，不用担心，你会没事的，他想，但他做不到。\n「等你结束这里，我们还会再见。」,"Upon hearing your voice, the silhouette stops; Clementine's voice barely makes it through the dense fog.\n""Oh—it's you,"" she says, indistinct and hazy, like moonlight dissolving in water. ""Don't worry, you'll be fine""— it's a nice thought, but difficult to believe.\n""Once you're done here, we'll meet again."""
Event_7062_Desc,azxc,s事件_Event_A.csv,411,Event,Desc,,朦胧的人影逐渐清晰，那不是什么融蚀体，也不是灾厄，而是没有翅膀，神色如常的克莱门汀。\n「真巧啊，你也是来欣赏月光的吗？」她笑着说，你却感到一阵晕眩，「浓雾之夜，还是要多加小心哦。\n「这儿的小家伙们，可不怎么安分。」,"The hazy figure gradually becomes clear; neither a Dissolute nor signs of Cataclysm, but a wingless, entirely ordinary Clementine.\n""What a coincidence, are you here to enjoy the moonlight too?"" she says with a smile, and you feel a wave of dizziness. ""On misty nights, do stay cautious.""\n""The little ones here aren't terribly well-behaved."""
Event_6941_Desc,ayUk,s事件_Event_A.csv,188,Event,Desc,,强烈的被注视的感觉让你停下脚步。\n「是谁？」你在浓雾中张望，「詹金，是你吗？」\n雾气茫茫，庭院深处隐隐传来融蚀体的尖叫。你一无所获，只能回头，却险些撞上一只悬在空中的眼睛。,"A strong feeling of being watched makes you stop in your tracks.\n""Who is it?"" you look around in the dense fog, ""Jenkin, is that you?""\nThe mist is thick, and faint screams of the Dissoluted can be heard from deep within the courtyard. You come up empty-handed, and as you turn around, you nearly bump into an eye hanging in the air."
Event_7314_Desc,aACM,s事件_Event_A.csv,189,Event,Desc,,眼睛缓慢地眨了一下，不知道是否听懂了你的问话。\n一滴金红相间的泪水从眼角滴落，像一颗微小的星星，散发着太阳一样的暖光。它下落，下落，带着悲伤，带着哀悯，在砖石上碎成一小片尘埃。\n你猛地回过神，那个眼睛已经不见了。,"The eyes blink slowly, unsure if they had understood your question.\nA single, golden-red tear drops from the corner of the eye, like a tiny star radiating warm sunlight. Its fall carries sadness and pity, until it shatters to dust on the bricks.\nYou snap back to reality—the eyes are gone."
Event_7084_Desc,azCg,s事件_Event_A.csv,190,Event,Desc,,它就那么静静地悬在空中，一眨不眨，目光恳切，似乎是想告诉你什么。\n眼睛或许寄宿了灵魂，但如果没有言语，你也只能感到一丝急切，一丝悲伤。\n它凭空消散了。,"It hovers silently in the air, unblinking, its gaze earnest—as if trying to tell you something.\nEyes may harbor a soul, but without words, you can only sense a trace of urgency and a hint of sorrow.\nIt vanishes into thin air."
Event_7252_Desc,aAow,s事件_Event_A.csv,215,Event,Desc,,融蚀体在你面前消散，黑冷的飞灰融入迷雾，凭空凝聚出一个古怪的天平。天平的一端是一只沉睡的老鼠，另一端则是一根雕刻成男孩模样的蜡烛。\n冥冥中你知道，你必须做出选择。,"The Dissolute dissipates before you. From it, black ashes coalesce in the mist to form a strange pair of scales. On one side, a rat lies in sleep. On the other sits a small candle, carved into the shape of a young boy.\nYou instinctively know that you must make a choice."
Event_7252_ChoiceDesc1,aAor,s事件_Event_A.csv,215,Event,ChoiceDesc1,,【选择老鼠】随机1张指令卡获得刻印：「(EnchantConfig.Arg1)」,"[The Rat] Engrave the Orison ""(EnchantConfig.Arg1)"" on a random Command Card."
Event_7252_ChoiceDesc2,aAos,s事件_Event_A.csv,215,Event,ChoiceDesc2,,【选择蜡烛】提升 Arg1 点最大生命，感染「(Skill.Arg2)」,"[The Candle] Increase Max HP by Arg1, but develop the Symptom ""(Skill.Arg2)""."
Event_7406_Desc,aAYw,s事件_Event_A.csv,216,Event,Desc,,你小心地将老鼠从天平上取下，它平缓地呼吸着，毛茸茸的躯体温暖了你的掌心。,"You carefully lift the rodent from the scale. Its breathing is steady, its furry body warm in your palm."
Event_7611_Desc,aCgw,s事件_Event_A.csv,217,Event,Desc,,蜡烛离开天平的瞬间就自动点燃，它流下乳白的泪水，迅速从你的指缝间滴落，消失不见。,"The candle ignites the moment it leaves the scale, shedding milky-white tears that swiftly drip through your fingers and disappear."
Event_7229_Desc,aAjg,s事件_Event_A.csv,233,Event,Desc,,「我好痛苦，好痛苦啊……」\n「为什么是我，为什么我要经历这个？」\n「仁慈的父神啊，我到底做错了什么？」\n悲伤、痛苦、愤怒、不甘……「病人」们的情感沉重地压在你的身上，你捂着胸口，无法呼吸。,"""I'm in such pain, so much pain...""\n""Why me? Why must I endure this?""\n""Merciful Father, what have I done wrong?""\nSorrow, pain, anger, frustration... drowning in empathy, the emotions of these ""patients"" weigh heavily on you. Clutching your chest, you find it difficult to breathe."
Event_7229_ChoiceDesc2,aAjc,s事件_Event_A.csv,233,Event,ChoiceDesc2,,【沉沦】获得白银造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Wallow] Acquire the Silver Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_7082_Desc,azBI,s事件_Event_A.csv,234,Event,Desc,,你也会欢喜，也会忧愁，但此刻淹没你的不是你的情感。你捂住耳朵，银钥匙闪烁耀眼的光。\n终于，你能呼吸了。,"You've felt joy. You've felt sorrow. You recognize now it is not your own emotions overwhelming you.\nClosing your eyes and covering your ears, the Silver Key shines with a dazzling light.\nIt'll be okay. Finally, you can take a deep breath."
Event_7509_Desc,aBIU,s事件_Event_A.csv,412,Event,Desc,,融蚀体哀嚎着倒下，你惊讶地发现克莱门汀站在其后。\n「我是来道别的，」面对你的质问，她不予回答，「为了表达对你的感谢，我可以告诉你一些线索。不过……那将需要你的信任。\n让我催眠你，你就能知道我知道的一切。」\n你能相信她吗？\n「小心，」拉蒙娜警告道，「她不可能别无所图。」,"The Dissolute cried out as it fell, and you're surprised to find Clementine standing behind it.\n""I'm here to say goodbye,"" she says. ""As a show of thanks, I can give you some clues. However... that will require your trust.\nAllow me to hypnotize you, and I will share with you all that I know.""\nCan you trust her?\n""Be careful,"" Ramona warned, ""She must have ulterior motives."""
Event_7509_ChoiceDesc1,aBIP,s事件_Event_A.csv,412,Event,ChoiceDesc1,,【欣然同意】,[Hesitantly Agree]
Event_7509_ChoiceDesc2,aBIQ,s事件_Event_A.csv,412,Event,ChoiceDesc2,,【抱有戒心】,[Express Caution]
Event_7259_Desc,aAqc,s事件_Event_A.csv,413,Event,Desc,,奇异的振翅声萦绕在你周围，恍惚间你看到，罗杰斯抱着玩偶乔治躺在诊疗床上，双手满是鲜血。\n你睁开眼，发现克莱门汀已经不见了踪迹。\n苏醒过来，克莱门汀已经离开。,"An eerie fluttering sound lingers around you. In a daze, you see Rogers holding the doll George, lying on the treatment bed with bloodstained hands.\nYou open your eyes and realize Clementine is nowhere to be found.\nBy the time you awake, Clementine is long gone."
Event_7514_Desc,aBKc,s事件_Event_A.csv,414,Event,Desc,,在周围嘈杂的声音之中，你依稀听到了奇异的振翅声。银钥匙在你胸口猛然振动，你被某种力量驱使着仰头，看到空中出现的巨大黑洞。\n「可惜，可惜，不过没关系。我们还会再次相见，我尊敬的无目之眼。」,"Through the cacophony of noises, you can barely make out a strange buzzing, like the wings of an insect. The Silver Key vibrates fiercely against your chest; compelled by some force, you look up to see a huge, black hole appear in the sky.\n""What a pity, to be sure, but it's alright. We will meet again, my esteemed Pupilless Eye."""
Event_7401_Desc,aAWQ,s事件_Event_A.csv,88,Event,Desc,,橙黄色的网在空中静静地漂浮，它孔洞稀疏，远不如墙根上栖息了一只蜘蛛的远亲来得精致。\n你忍不住伸手触碰，脆弱的网瞬间溶解，孩子们的欢笑在你耳边响起。\n「金的银的黄的红的，所有钱包的都是我们的！」,"A yellow-orange web floats quietly in the air, its sparse holes far less intricate than those of its spider-weft relatives nesting by the wall.\nYou can't resist but to reach out; the fragile web dissolves instantly, and children's laughter echoes in your ears.\n""Gold, silver, yellow, red, all the wallets are ours!"""
Event_7626_Desc,aCjU,s事件_Event_A.csv,89,Event,Desc,,一阵不属于你的失望在你心头漫起，虚幻的网缓缓消散，让出了一条通路。,"A wave of unfamiliar disappointment wells up in your heart as the illusory web gradually dissipates, revealing the path forward."
Event_7561_Desc,aBUU,s事件_Event_A.csv,267,Event,Desc,,怪物的哀鸣在你的脑海中回荡，不成人形的黑色黏液中，一个声音微弱地呢喃着「莎莎姐姐」，「莎莎姐姐」。\n「莎莎姐姐，你在哪里？」,"The screams of Dissolutes echo in your mind. A faint but familiar voice emerges from the blackness, weakly whispering:\n""Sister Sasha,"" ""Sister Sasha...""\n""Sister Sasha, where are you?"""
Event_6990_Desc,azgw,s事件_Event_A.csv,268,Event,Desc,,「我好痛，好痛啊……莎莎姐姐……」\n你看向莎拉，她紧张地护着两个孩子，似乎是没有听见。\n声音逐渐消散。,"""I'm in so much pain... Sister Sasha...""\nYou glance at Sarah. She is—nervously—shielding two of the children, pretending not to hear anything.\nThe voice gradually fades away."
Event_7570_Desc,aBWY,s事件_Event_A.csv,269,Event,Desc,,「不可能，我不相信！」声音尖叫起来，「这个把我送给恶魔的女人，才不是我的莎莎姐姐！」,"""Impossible, unbelievable!"" The voice screamed, ""That woman who sent me to this demon is NOT Sister Sasha!"""
Event_7180_Desc,azYA,s事件_Event_A.csv,321,Event,Desc,,「两个固执的家伙，济贫院已经很危险了，」通讯器里突然传来朵尔的声音，「你们打算下一步怎么行动，帮她把头缝上？」\n「现在不是说风凉话的时候，朵尔！」\n「我知道，我听得出来。」朵尔说，「冷静一点，知道成功的关键是什么吗？」,"""Two stubborn people? The Workhouse is already dangerous—"" Doll's voice suddenly comes through the communicator, ""What's your plan here? Sew her head back on?""\n""Now's not the time for sarcastic remarks, Doll!""\n""I know, I can tell."" Doll said, ""Calm down. Do you know what the key to success is?"""
Event_7180_ChoiceDesc2,azYw,s事件_Event_A.csv,321,Event,ChoiceDesc2,,【是对成功的渴望】获得黄金造物「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Desire to Succeed] Acquire the Golden Relic ""(RelicConfig.Arg1)"", but develop ""(Skill.Arg2)""."
Event_7481_Desc,aBCw,s事件_Event_A.csv,323,Event,Desc,,「……我竟然觉得你说的有一丝道理，但渴望可不能帮你解决融蚀体。还是干点实际的吧。」,"""...I can't say there's not some truth to that, but desire alone won't solve your Dissoluted Entity problem. Let's do something practical."""
Event_7577_Name,aBYF,s事件_Event_A.csv,333,Event,Name,,童年的旋律,Nursery Rhyme
Event_7577_ChoiceDesc2,aBYA,s事件_Event_A.csv,333,Event,ChoiceDesc2,,【将盖子盖上】获得3选1刻印,[Close the Lid] Engrave 1 out of 3 Orisons
Event_7380_Name,aARZ,s事件_Event_A.csv,334,Event,Name,,童年的旋律,Nursery Rhyme
Event_7380_Desc,aARY,s事件_Event_A.csv,334,Event,Desc,,孩子们的声音从琴键下流出。\n「老查理有一只他很爱的虎斑猫……」\n孩子们的歌声之下，一个年轻女性的声音也在轻轻温柔歌唱。\n是你听错了吗？,"Children's voices flow from beneath the piano keys.\n<Italic:""Old Charlie's tabby, fat and dear..."">\nBeneath the children's singing, a young woman's gentle voice softly joins in.\nAre you hearing things...?"
Event_7320_Name,aAEh,s事件_Event_A.csv,335,Event,Name,,童年的旋律,Nursery Rhyme
Event_7320_Desc,aAEg,s事件_Event_A.csv,335,Event,Desc,,钢琴轻轻地发出一声叹息，似是宽慰，又似是留恋，像极了什么人在一曲终了时的笑容。\n「只要孩子们……只要……」\n你还没来得及听清，钢琴的幻影便随风飘散。,"The piano lets out a soft sigh, lingering but comforting, resembling the smile of someone at the end of their melody.\n""So long as the children... so long...""\nBefore you could make out the words clearly, the piano's phantasm vanished with the wind."
Event_7404_Desc,aAXA,s事件_Event_A.csv,387,Event,Desc,,三个人影拦住了你的去路。\n「你可以放过她，」双手抱着沾满融蚀浆的小熊玩偶的人影开口，「她只是胆怯，而不邪恶。她不想伤害任何人。」\n「你可以帮助她，」双手捧着一把包装精致的糖果的人影开口，「你能够做到她不能做到的事情，你能够结束这一切。」\n「你不需要听我们的，」双手空空如也的人影开口，「你有你自己的路。」,"Three dark, ephemeral figures block your way.\n""You can let her go,"" says the one holding a teddy bear dripping with D-Slime, ""she is just timid, not evil. She doesn't want to harm anyone.""\n""You can help her,"" says the one holding a beautifully wrapped bag of candy, ""you can do what she cannot. You can end all of this.""\n""You don't have to listen to us,"" says the one with empty hands, ""you have your own path."""
Event_7404_ChoiceDesc3,aAXx,s事件_Event_A.csv,387,Event,ChoiceDesc3,,【我要走自己的路】获得50黑印,[Walk My Own Path] Receive 50 Black Sigils
Event_7358_Desc,aAMU,s事件_Event_A.csv,388,Event,Desc,,「这也是我的选择。」抱着小熊的人影说，「但她会成为他的傀儡，而他们都会死去。\n你，将是那个罪恶的帮凶。」\n强烈的愧疚将你淹没。人影消散，你扶着心口，不知刚才的究竟是投影，还是精神在重压下产生的幻觉。,"""This, too, was my decision,"" says the figure holding a bear. ""But she will become his puppet, and they will all die.\nAnd you will have been complicit in this tragedy.""\nIntense guilt overwhelms you. The silhouettes vanish, leaving you clutching your chest, unsure if it was a projection or a phantasm brought on by mental stress."
Event_7302_Desc,aAzY,s事件_Event_A.csv,389,Event,Desc,,「这也是我的选择。」捧着糖果的人影说，「但她会成为他的筹码，你将必须选择。\n世上并不存在完美的结局。」\n深重的悲伤将你淹没。人影消散，你扶着心口，不知刚才的究竟是投影，还是精神在重压下产生的幻觉。,"""This, too, was my decision,"" says the figure holding candies. ""But she will become his pawn, and you will be forced to make a choice eventually.\nThere are no perfect endings in this world.""\nProfound sorrow overwhelms you. The silhouettes vanish, leaving you clutching your chest, unsure if it was a projection or a phantasm brought on by mental stress."
Event_7541_Desc,aBQo,s事件_Event_A.csv,390,Event,Desc,,「明智的决定。」两手空空的人影说，「已经被验证的选择有着既定的结局，未知的行为则会导向新的未来。」\n细微的希望将你温柔笼罩。人影消散，你扶着心口，不知刚才的究竟是投影，还是精神在重压下产生的幻觉。,"""A wise decision,"" says the empty-handed figure. ""Preordained choices lead to predetermined outcomes, while unpredictable actions pave the way to new futures.""\nA subtle sense of hope gently envelops you. The silhouettes vanish, leaving you clutching your chest, unsure if it was a projection or a phantasm brought on by mental stress."
Event_7409_Desc,aAZg,s事件_Event_A.csv,462,Event,Desc,,手提箱内的便携打字机忽然自己活动起来，打出半页歪歪扭扭的文字。\n 「你已经看见祂了，祂就在你的身侧，那些被疯狂污染的，狂热的影子……不要直视祂的轮廓。」,"The portable typewriter inside your suitcase suddenly started typing on its own, producing a half page of crooked text before you could notice.\n""You have seen It. It has always been just beside you—those shadows tainted by madness and zeal... Do not gaze directly at Its outline."""
Event_7409_ChoiceDesc1,aAZb,s事件_Event_A.csv,462,Event,ChoiceDesc1,,【把纸抽出来】删除1张卡牌,[Pull The Paper] Destroy a Card
Event_7409_ChoiceDesc2,aAZc,s事件_Event_A.csv,462,Event,ChoiceDesc2,,【现在不是时候】获得「(RelicConfig.Arg1)」，感染「(Skill.Arg2)」,"[Not Now] Acquire the Relic ""(RelicConfig.Arg1)"", but develop the Symptom ""(Skill.Arg2)""."
Event_7612_Desc,aCgI,s事件_Event_A.csv,463,Event,Desc,,你一把将纸抽了出来，打字机却仍在运转。它将一张指令卡卷入，在上面糊满了油墨。\n你仔细辨认，上面好像反复写着「不要直视不要直视不要直视不要直视不要直视」。,"Hastily, you pull the paper from the typewriter—but it continues to run. In this moment of panic, a Command Card falls in and becomes unusably smeared with the blackest of ink.\nYou take a moment to dispose of it carefully, but can't help but to notice the ominous, repeated text now written upon it;\n<Bold:DO NOT GAZE DIRECTL>\n<Bold:DO NOT GAZE DIRECTL>\n<Bold:DO NOT GAZE DIRECTL>\n<Bold:DO NOT GAZE DIRECTL>\n<Bold:DO NOT GAZE DIRECTL>\n<Bold:DO NOT GAZE DIRECTL>\n<Bold:DO NOT GAZE DIRECTL>\n<Bold:DO NOT GAZE DIRECTL>"
Event_6838_Desc,ayww,s事件_Event_A.csv,464,Event,Desc,,更重要的事情就在你面前，你合上箱子打定主意不去理会，而打字机也渐渐沉默。,"There are more important matters to tend to right now. You close the box, determined to ignore it, and the typewriter gradually falls silent."
AvgDialog_18899_Content_10,afpF,avg章1新_AvgDialog_C_M.csv,17,AvgDialog,Content,？？？,<Italic:他翻了翻衣柜。他看了看床底。>,"<Italic:He searched the wardrobe, checked the bed,>"
AvgDialog_18899_Content_12,afpH,avg章1新_AvgDialog_C_M.csv,19,AvgDialog,Content,？？？,<Italic:他在烧着锅炉的地下室转了转。>,"<Italic:Check the basement, his friend had said,>"
AvgDialog_18899_Content_13,afpI,avg章1新_AvgDialog_C_M.csv,20,AvgDialog,Content,,"只剩下眼球和喉咙勉强运转。
周身如同被虫蚁噬咬，传来细碎的疼痛。","Only your eyes and throat still function.\nAll around you, a faint, prickling pain spreads, as if insects were nibbling at your skin."
AvgDialog_18899_Content_14,afpJ,avg章1新_AvgDialog_C_M.csv,21,AvgDialog,Content,？？？,<Italic:老查理在哪里都找不到他的虎斑猫。>,"<Italic:No tabby where he looked, anywhere!>"
AvgDialog_18899_Content_18,afpN,avg章1新_AvgDialog_C_M.csv,25,AvgDialog,Content,？？？,<Italic:——直到自己也消失掉。>,"<Italic:—'Til Charlie, too, was never there.>"
AvgDialog_18899_Content_27,afpX,avg章1新_AvgDialog_C_M.csv,34,AvgDialog,Content,,"从<Yellow:阿库特>回来之后，你就频繁地做梦。
梦见自己的梦，梦见他人的梦，梦见过去，甚至有时候……梦见未来。","Since returning from <Yellow:Yakutsk>, the dreams haunt you—\nyour own, others', dreams of the past, even... glimpses of the future."
AvgDialog_18899_Content_34,afqf,avg章1新_AvgDialog_C_M.csv,41,AvgDialog,Content,拉蒙娜,"发现你是我和弥萨格的幸运。
如果不是你，在场所有人都会被阿库特的<Yellow:融蚀灾厄>湮没。","Finding you was a blessing for me and Mythag.\nWithout you, everyone here would have been engulfed by Yakutsk's <Yellow:Dissolution Cataclysm>."
AvgDialog_18899_Content_47,afqt,avg章1新_AvgDialog_C_M.csv,54,AvgDialog,Content,威廉,"事不宜迟，肖恩还在等待你们的救援，赶紧出发吧。
愿银钥指引前路。","Time's critical, and Sean's survival window narrows. Now go.\nMay the Silver Key light your path."
AvgDialog_18906_Content_3,afvg,avg章1新_AvgDialog_C_M.csv,57,AvgDialog,Content,,"一股强烈的眩晕感伴随着剧烈的耳鸣突然向你袭来。
模糊的画面在你脑中一闪而过，似乎某个时候，你看过类似的场景。","Dizziness strikes, ears ringing.\nBlurry images flash—have you seen this before?"
AvgDialog_18906_Content_13,afuR,avg章1新_AvgDialog_C_M.csv,67,AvgDialog,Content,奥吉尔,"不是的，我是想请教一下……
请问你知不知道莉莉安济贫院怎么走？","No, I just wanted to ask...\nDo you know the way to Lilian's Workhouse?"
AvgDialog_18906_Content_23,afvc,avg章1新_AvgDialog_C_M.csv,77,AvgDialog,Content,,"奥吉尔转头看向刚才孩子所在的阶梯，那里空空如也。
不知何时，兜帽已经溜到了街道的尽头，手中还抓着奥吉尔的钱包。","When Ogier turns back, the stairs are empty—\nthe hooded figure now lurks at the street's end, clutching his stolen wallet."
AvgDialog_18906_Content_26,afvf,avg章1新_AvgDialog_C_M.csv,80,AvgDialog,Content,拉蒙娜,"看来，我们得帮帮奥吉尔了。
走吧，守密人。","Looks like we need to help Ogier.\nLet's go, Keeper."
AvgDialog_18883_Content_12,afiK,avg章1新_AvgDialog_C_M.csv,101,AvgDialog,Content,,"克莱门汀露出了一个柔和的笑容，轻轻拂去衣摆上并不存在的尘灰。
她点头致意，然后翩然离去。","Clementine offers a gentle smile, brushing imaginary dust from her clothes.\nShe nods and graciously glides away."
AvgDialog_18883_Content_13,afiL,avg章1新_AvgDialog_C_M.csv,102,AvgDialog,Content,,"你们抬头看去，巨大铁牌上赫然写着“莉莉安济贫院”几个锈蚀大字。
大字下，一个保安百无聊赖地闲坐着。","Above, a rusted iron sign reads ""Lilian's Workhouse.""\nA bored guard slouches beneath it."
AvgDialog_18883_Content_14,afiM,avg章1新_AvgDialog_C_M.csv,103,AvgDialog,Content,拉蒙娜,"事已至此，我们先进去看看吧。
还记得你们的伪装身份吗，艾什%lordorlady%，艾什小少爷？","So we're here. Let's go inside and take a look.\nDo you remember your disguise, {Male=Lord Ashe and his younger brother,Female=Lady Ashe and her younger brother}?"
AvgDialog_18885_Content_3,afjl,avg章1新_AvgDialog_C_M.csv,115,AvgDialog,Content,拉蒙娜,"<Yellow:融蚀初期侵蚀>。
不应该这么早发作……甚至不该发作。",<Yellow:Early Dissolution Erosion>.\nIt shouldn't happen this early... it shouldn't happen at all.
AvgDialog_18885_Content_6,afjo,avg章1新_AvgDialog_C_M.csv,118,AvgDialog,Content,威廉,"融蚀的异常发展…恐怕与<Yellow:肖恩·安德森调查员的失踪>脱不了干系。
只怕已经有人盯上济贫院……甚至盯上你们了。",The anomalous Dissolution patterns... potentially correlate with <Yellow:Investigator Anderson's disappearance>.\nThe workhouse may be targeted... possibly you as well.
AvgDialog_18909_Content_3,afxZ,avg章1新_AvgDialog_C_M.csv,132,AvgDialog,Content,莎拉,"济贫院事务繁杂，我们有失远迎了，尊敬的艾什%lordorlady%、玛丽小姐。
我是这儿的管理人莎拉。","Good day, {Male=Lord,Female=Lady} Ashe, Miss Mary. I'm Sarah, the matron here.\nThe workhouse demands much of us, and I'm sorry we couldn't greet you at the gate."
AvgDialog_18909_Content_4,afyk,avg章1新_AvgDialog_C_M.csv,133,AvgDialog,Content,,"见身边人没接上话头，她眉头一皱，拍了拍女孩的背。
女孩似乎在走神，这会儿像是被吓了一跳，赶紧向你们鞠了一躬。","Irritated by the lack of echoes, she frowns and nudges a distracted girl.\nThe girl jolts, then bows to all of you hastily."
AvgDialog_18909_Content_10,afxE,avg章1新_AvgDialog_C_M.csv,139,AvgDialog,Content,,"拉蒙娜面不改色，语句流畅如背诵过千百遍台词的话剧演员。
奥吉尔在一旁早已涨红了脸。","Ramona remains composed, delivering rehearsed lines flawlessly.\nYet Ogier's face has turned completely red."
