CN,TH
融灾禁区·第4波·Ⅳ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 4 เตือนภัยระดับ IV
融灾禁区·第5波·Ⅳ级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 5 เตือนภัยระดับ IV
,
融灾禁区·第1波·V级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 1 เตือนภัยระดับ V
融灾禁区·第2波·V级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 2 เตือนภัยระดับ V
融灾禁区·第3波·V级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 3 เตือนภัยระดับ V
融灾禁区·第4波·V级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 4 เตือนภัยระดับ V
融灾禁区·第5波·V级警报,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 5 เตือนภัยระดับ V
,
融灾禁区,เขตภัยพิบัติเลือนสลาย
融灾禁区·第1波,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 1
融灾禁区·第2波,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 2
融灾禁区·第3波,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 3
融灾禁区·第4波,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 4
融灾禁区·第5波,เขตภัยพิบัติเลือนสลาย: ระลอกที่ 5
,
队伍配置-融灾禁区,จัดทีม-เขตภัยพิบัติเลือนสลาย
第1波,ระลอกที่ 1
第2波,ระลอกที่ 2
第3波,ระลอกที่ 3
第4波,ระลอกที่ 4
第5波,ระลอกที่ 5
,
漆黑的潮水漫过警戒界限，轻微的波动亦昭示着足以吞噬掉以轻心者的险恶。,กระแสธารทมิฬได้ไหลทะลักท่วมผ่านเส้นเขตเตือนภัย แม้แต่ริ้วคลื่นเพียงน้อยนิดก็บ่งบอกถึงภยันตรายร้ายแรงที่พร้อมจะกลืนกินผู้ประมาท
黑潮漩涡翻涌，密境险象丛生，深沉的黑暗化为前行者的牢笼。,วังวนแห่งกระแสธารทมิฬกำลังปั่นป่วน สถานที่เร้นลับเต็มไปด้วยอันตรายที่ซ่อนเร้น และความมืดมิดอันลึกล้ำได้แปรเปลี่ยนเป็นกรงขังสำหรับผู้บุกเบิก
旧日灾厄于此刻苏生，跨越现世的界碑，引燃堕落的汪洋。,ณ เวลานี้ หายนะแห่งวันวานได้ฟื้นคืน ก้าวข้ามเขตแดนของโลกปัจจุบัน และจุดไฟให้มหาสมุทรอันเสื่อมโทรมลุกโชน
不可见的灾难复苏，物理世界的历史与存在正在坠入深渊。,หายนะที่มองไม่เห็นได้ฟื้นคืน โลกแห่งวัตถุพร้อมด้วยประวัติศาสตร์และการดำรงอยู่กำลังร่วงหล่นลงสู่ห้วงเหว
黑暗自深渊涌现，闯入者于紧攥心脏的恐惧中挣扎，在被黑暗吞没之前。,ความมืดมิดท่วมทะลักขึ้นจากห้วงเหว เหล่าผู้บุกรุกดิ้นรนท่ามกลางความหวาดกลัวที่บีบคั้นจิตใจ ก่อนที่พวกเขาจะถูกความมืดกลืนกิน
,
海魇,อสุรกายแห่งท้องทะเล
繁育,แพร่พันธุ์
终末,ปลายทางสุดท้าย
,
幻梦深潜,ดำดิ่งสู่ห้วงฝันลวงตา
幻梦深潜Ⅰ,ดำดิ่งสู่ห้วงฝันลวงตา I
幻梦深潜Ⅱ,ดำดิ่งสู่ห้วงฝันลวงตา II
幻梦深潜Ⅲ,ดำดิ่งสู่ห้วงฝันลวงตา III
幻梦深潜Ⅳ,ดำดิ่งสู่ห้วงฝันลวงตา IV
幻梦深潜Ⅴ,ดำดิ่งสู่ห้วงฝันลวงตา V
幻梦深潜Ⅵ,ดำดิ่งสู่ห้วงฝันลวงตา VI
幻梦深潜Ⅶ,ดำดิ่งสู่ห้วงฝันลวงตา VII
幻梦深潜·癫狂,ดำดิ่งสู่ห้วงฝันลวงตา: บ้าคลั่ง
,
「手」掀开夜的帷幕，悄悄来到这个世界。,"""มือ"" ได้เปิดม่านราตรีกาลออกและย่างกรายเข้าสู่โลกใบนี้อย่างเงียบงัน"
此处埋葬着一所大学，千疮百孔，疲惫不堪\n它曾为人类存续奉献了一点希望与勇气\n至于结果如何，你现在都看到了,ณ ที่แห่งนี้คืออนุสรณ์สถานของมหาวิทยาลัยแห่งหนึ่งซึ่งเต็มไปด้วยรอยแผลนับพันและอ่อนล้าอย่างแสนสาหัส\nมันเคยอุทิศความหวังและกำลังใจอันน้อยนิดให้แก่การดำรงอยู่ของมนุษยชาติ\nส่วนผลลัพธ์เป็นอย่างไรนั้น เจ้าก็ได้เห็นด้วยตาตัวเองแล้วในตอนนี้
坍塌的偶像注视着自己的子民。\n看他们生存、繁衍、互相争斗，然后将自己彻底遗忘。\n坍塌的偶像怀念着自己的子民。,รูปเคารพที่พังทลายกำลังเฝ้ามองเหล่าไพร่พลของตน\nมองพวกเขาดำรงชีวิต แพร่พันธุ์ ห้ำหั่นกันเอง...ก่อนจะหลงลืมตนโดยสมบูรณ์\nรูปเคารพที่พังทลายกำลังโหยหาเหล่าไพร่พลของตน
「每把钥匙都有唯一的编号，只对应唯一的调查员。」\n「因此，每把钥匙的陨落也对应着唯一的调查员之死。」\n「真好啊。就连死亡都是独一无二的。」,"""กุญแจทุกดอกมีหมายเลขเฉพาะตัว และจะตรงกับนักสืบสวนเพียงคนเดียวเท่านั้น""\n""ดังนั้น การสิ้นสลายของกุญแจแต่ละดอก จึงหมายถึงความตายของนักสืบสวนผู้นั้นเช่นกัน""\n""ช่างดีจริงหนอ แม้กระทั่งความตายก็ยังเป็นเอกเทศไม่เหมือนใคร"""
「它是唯一，它是全部，它是开启真相之门的希望。」\n无数钥匙围成了一个圈。它们自天空中坠落，带给人们沉甸甸的希望。\n也带来沉甸甸的坟墓。,"""มันคือหนึ่งเดียว มันคือทั้งหมด มันคือความหวังที่จะเปิดประตูแห่งแก่นแท้""\nกุญแจนับไม่ถ้วนรวมกันเป็นวงกลม พวกมันร่วงหล่นลงมาจากฟากฟ้า นำพาความหวังอันหนักอึ้งมาสู่มวลมนุษย์\nและนำพามาซึ่งหลุมศพอันหนักอึ้งเช่นกัน"
