AvgDialog_4898_Content_7,amAi,avgV1.1莉莉大型支线_AvgDialog_C_M.csv,232,AvgDialog,Content,,这是…库姆和弗朗西斯？,Is this... Koum and Francis?
AvgDialog_19984_Content_54,ahDO,avg章3_AvgDialog_C_M.csv,485,AvgDialog,Content,达芙黛尔,你的猜测十分精准，库姆正是“丽莎”，而对她进行这种惨无人道改造的势力，和你们也是老熟人了。,"Your deduction is flawless. Koum is indeed ""Lisa,"" and the ones who twisted her into this abomination are foes you know all too well."
AvgDialog_19016_Content_4,agwK,avg章3_AvgDialog_C_M.csv,512,AvgDialog,Content,,库姆突然拱起身，如被包围的野兽般摆出蓄势待发的姿势。,Koum arches her back like a cornered beast ready to pounce.
AvgDialog_19016_Content_6,agxg,avg章3_AvgDialog_C_M.csv,514,AvgDialog,Content,,库姆急剧转身，挠了挠地面，背脊紧绷，发出威胁的低吼。,"Koum turns quickly, scratching ground with tensed back, growling threateningly."
AvgDialog_19016_Content_19,agwn,avg章3_AvgDialog_C_M.csv,527,AvgDialog,Content,,如果不是库姆还在一副如临大敌的模样，她就像一个有点严厉、却又有点亲切的普通母亲。,"Were it not for Koum's vigilance, she'd seem a strict yet kind mother."
AvgDialog_19002_Content_62,agtA,avg章3_AvgDialog_C_M.csv,672,AvgDialog,Content,,现在的丽莎，只怕永远也无法回到母亲的身边了，只能以“库姆”的身份苟活下去。,"Lisa may never return to her mother, surviving only as ""Koum."""
AvgDialog_19013_Content_3,agvh,avg章3_AvgDialog_C_M.csv,994,AvgDialog,Content,,夜色如深邃的暗影吞噬万物，在这里等待你们已久的库姆呜呜地叫了两声，昏暗铁桥的尽头，灯火暧昧不明地摇曳。,Deep night shadow devours all. Koum waits at dim bridge end where lights flicker ambiguously.
AvgDialog_19013_Content_9,agvn,avg章3_AvgDialog_C_M.csv,1000,AvgDialog,Content,,库姆不安地打了个鼻息。,Koum snorts uneasily.
AvgDialog_19013_Content_10,agvb,avg章3_AvgDialog_C_M.csv,1001,AvgDialog,Content,莉莉,库姆，不怕。,"Koum, don't be afraid."
AvgDialog_4905_Content_16,amCm,avgV1.1莉莉大型支线_AvgDialog_C_M.csv,23,AvgDialog,Content,地狱犬（莉莉）,库姆…不是那样的……,Koum... It's not like that...
Event_7385_Desc,aATg,s事件_Event_A.csv,684,Event,Desc,,库姆背着你们三人在疯人院内寻找入口。\n突然，它一个急刹，险些将你们震下背脊。\n在你们的疑问声中，库姆低着头，在松软的土面上嗅探着，扭头向你们示意，似乎是下方埋着什么,"Koum carries the three of you through the asylum, searching for an entrance.\nSuddenly, it comes to an abrupt stop, nearly throwing you off its back.\nAmid your questions, Koum lowers her head, sniffing the soft soil, then turns to indicate something buried below."
Event_6969_Desc,azaI,s事件_Event_A.csv,685,Event,Desc,,见你仍在犹疑，库姆扑向土堆，用两只前爪快速地刨出了什么，推到你的面前。,"Seeing you still hesitating, Koum pounced on the dirt pile, quickly digging with her front paws and pushing something in front of you."
Event_7089_Desc,azDA,s事件_Event_A.csv,687,Event,Desc,,库姆撕咬住一个实验体的后脖颈，正准备甩动，实验体突然像猫头鹰一样180°扭过头颅，朝着库姆的面部啄去。,"Koum bit the back of a test subject's neck, ready to fling it. Suddenly, the subject twisted its head 180° like an owl and pecked at Koum's face."
Event_7089_ChoiceDesc1,azDv,s事件_Event_A.csv,687,Event,ChoiceDesc1,,【拉开库姆】,[Pull Koum Away]
Event_7452_Desc,aBvM,s事件_Event_A.csv,688,Event,Desc,,库姆被你猛然扯开，堪堪躲过一击。她朝你点了点头以示感激，再次朝着实验体冲了过去。,"Koum was pulled away by you, narrowly dodging a hit. She nodded at you in gratitude and charged at the test subject again."
Event_7460_Desc,aBxE,s事件_Event_A.csv,689,Event,Desc,,拉蒙娜一剑刺穿了实验体的喉咙，库姆将已然失去生命体征的实验体甩开，奔向下一个目标。,Ramona pierced the test subject's throat with a single thrust. Koum tossed aside the lifeless body and charged toward the next target.
Event_7171_ChoiceDesc2,azWs,s事件_Event_A.csv,690,Event,ChoiceDesc2,,【呼唤莉莉和库姆】,[Summon Lily and Koum]
Event_7462_ChoiceDesc1,aBxX,s事件_Event_A.csv,693,Event,ChoiceDesc1,,【安抚库姆】,[Soothe Koum]
Event_7462_ChoiceDesc2,aBxY,s事件_Event_A.csv,693,Event,ChoiceDesc2,,【帮库姆呼喊】,[Shout for Koum]
Event_7632_Desc,aClo,s事件_Event_A.csv,695,Event,Desc,,「醒一醒，莉莉，库姆也希望你早点醒过来——」,"""Wake up, Lily. Koum also hopes you'll wake up soon—"""
Event_7624_Desc,aCjw,s事件_Event_A.csv,696,Event,Desc,,洁净柔软的手术床旁，躺着库姆已经瘫软的躯体。\n她依然很高大，像一座小山，像你初见时那样。\n只是，跟高空中的真正的「地狱犬」相比，她又是那么小，小到像是一个孩子。,"Beside the clean and soft operating table lay the already slumped body of Koum.\nShe was still tall, like a small hill, just as you remembered when you first saw her.\nHowever, compared to the true ""Hellhounds"" in the sky, she was so small, small enough to resemble a child."
Event_7449_Desc,aBvc,s事件_Event_A.csv,697,Event,Desc,,库姆已经献出了她能献出的一切。\n接下来，轮到你让她的牺牲不是毫无意义了。,"Koum has given everything she could.\nNow, it's your turn to ensure her sacrifice was not in vain."
Event_7335_Desc,aAHE,s事件_Event_A.csv,698,Event,Desc,,触手处的皮毛柔软细腻，还残留着库姆生命的温热。\n那是日落前的最后一缕夕阳，转瞬即逝的余温。,"The fur is soft and delicate, still retaining the warmth of Koum's life.\nIt is the last ray of sunset before dusk, a fleeting remnant of warmth."
State_3541_Desc,aXmN,z状态表_State_A.csv,2297,State,Desc,,库姆落入了你们布设的陷阱。,Koum fell into the trap you set.
