Key,ShortKey,Source,Row,Module,Field,Character,CN,EN
Skill_36807_Desc,aLSc,j技能表_Skill_A.csv,36,Skill,Desc,,选择 1 名唤醒体使其获得 <Energy:[Arg2]>  点狂气，获得 [Arg3] 点<PowerIconKeywords:力量>，若当前界域为「血肉」，额外使<EmbryoFusionIconKeywords:胚胎融合> + [Arg4]，但失去 10%当前生命。,"Increase a chosen Awakener's Aliemus by <Energy:[Arg2]>. Gain [Arg3] <PowerIconKeywords:STR>. If the Realm includes Caro, consume 10% of your HP to increase <EmbryoFusionIconKeywords:Embryo Fusion> by +[Arg4]%."
Skill_36807_BattleDesc,aLSb,j技能表_Skill_A.csv,36,Skill,BattleDesc,,选择 1 名唤醒体使其获得 <Energy:[Arg2]>  点狂气，获得 [Arg3] 点<PowerIconKeywords:力量>，若当前界域为「血肉」，额外使<EmbryoFusionIconKeywords:胚胎融合> + [Arg4]，但失去 10%([Arg1])当前生命。,"Increase a chosen Awakener's Aliemus by <Energy:[Arg2]>. Gain [Arg3] <PowerIconKeywords:STR>. If the Realm includes Caro, consume <Damage:[Arg1]> (10% of current) HP to increase <EmbryoFusionIconKeywords:Embryo Fusion> by +[Arg4]%."
Skill_36808_Desc,aLSj,j技能表_Skill_A.csv,37,Skill,Desc,,获得 [Arg4] 点算力。选择 1 名唤醒体，将其 [Arg1] 张「打击」与 [Arg1] 张「防御」的原始复制置入手中，并使他们获得<DepleteIconKeywords:消耗>，<NothingnessIconKeywords:虚无>。若当前界域为「超维」，则额外获得 [Arg2] 点临时<PowerIconKeywords:力量>与 [Arg3] 点临时<AlertIconKeywords:戒备>。,"Recover [Arg4] Arithmetica. Choose an Awakener; create [Arg1] of their basic Strike and [Arg1] of their basic Defense Commands. They have <DepleteIconKeywords:Exhaust> and <NothingnessIconKeywords:Fleeting>. If the Realm includes Ultra, gain [Arg2] Temp. <PowerIconKeywords:STR> and [Arg3] Temp. <AlertIconKeywords:Alert>."
Skill_36846_Desc,aLSS,j技能表_Skill_A.csv,38,Skill,Desc,,获得 [Arg1] 点<RetaliateIconKeywords:反击>，使所有敌人降低 [Arg2] 点临时<PowerIconKeywords:力量>。若当前处于「超维回合」，不再降低临时<PowerIconKeywords:力量>，则对所有敌人造成等同于自身<RetaliateIconKeywords:反击>的伤害。,"Gain [Arg1] <RetaliateIconKeywords:Counter> and inflict [Arg2] Temp. <ExhaustionIconKeywords:STR▼> on all enemies. If in an Ultra Round, deal DMG equal to your <RetaliateIconKeywords:Counter> to all enemies instead of inflicting <ExhaustionIconKeywords:STR▼>."
Skill_36845_Desc,aLSL,j技能表_Skill_A.csv,39,Skill,Desc,,获得 [Arg1] 点算力，下回合开始时获得 <Block:[Block:Arg2]> 点护盾。若当前界域为「深海」且处于「潮涌」姿态，则效果变为生成 [Arg3] 条触腕。,"Recover [Arg1] Arithmetica and gain <Block:[Block:Arg2]> Delayed Shield. If your Tentacle Stance is ""Surging Tides"", instead summon [Arg3] Tentacles."
Skill_36844_Desc,aLSE,j技能表_Skill_A.csv,40,Skill,Desc,,对生命最高敌人造成 [Arg2] 点<IntoxicationIconKeywords:中毒>，获得 <Block:[Block:Arg1]> 点护盾。若本回合触发过「吞噬」，不再获得护盾，触发该敌人一半的<IntoxicationIconKeywords:中毒>。,"Inflict [Arg2] <IntoxicationIconKeywords:Poison> on the highest HP enemy, and gain <Block:[Block:Arg1]> Shield. If ""Devour"" has been triggered this turn, trigger half of that enemy's <IntoxicationIconKeywords:Poison> instead of gaining Shield."
Skill_36843_Desc,aLSx,j技能表_Skill_A.csv,41,Skill,Desc,,从抽牌堆中选择 [Arg1] 张牌加入手中，并使其算力消耗降低 [Arg2]。,"Search your Draw Pile for [Arg1] card(s) to put into your hand, and reduce their Arithmetica Cost by [Arg2]."
Skill_36851_Desc,aLSZ,j技能表_Skill_A.csv,42,Skill,Desc,,获得 [Arg1] 点<PowerIconKeywords:力量>，将 [Arg2] 张<DerivativeCardKeywords_4:「灵感」>置入手中。若当前为超维回合，效果变更为将 [Arg3] 张<DerivativeCardKeywords_4:「灵感」>置入手中。,"Gain [Arg1] <PowerIconKeywords:STR> and create [Arg2] <DerivativeCardKeywords_4:""Insight"">. If in an Ultra Round, instead create [Arg3] <DerivativeCardKeywords_4:""Insight"">."
Skill_47996_Desc,aOEg,j技能表_Skill_A.csv,43,Skill,Desc,,选择 1 个已解锁的钥令释放并使其生效 2 次，每个已解锁的钥令在本次探索中只能选择 1 次，不可选择初始携带的钥令。,Unleash 1 of 3 unequipped Posses twice. Each Posse can only be unleashed this way once per investigation.
Skill_89949_Desc,bxMW,j技能表_Skill_A.csv,44,Skill,Desc,,从随机 3 个钥令中选择 1 个钥令释放，每个已解锁的钥令在本次探索中只能选择 1 次，不可选择初始携带的钥令。,Unleash 1 of 3 unequipped Posses. Each Posse can only be unleashed this way once per investigation.
Skill_36852_Desc,aLTg,j技能表_Skill_A.csv,45,Skill,Desc,,抽 1 张牌，如果抽到指令卡或灵知觉醒，将其算力消耗变为 0，并使其拥有者获得 <Energy:[Arg1]> 点狂气。否则将这张牌弃掉并重复此条效果。,"Draw a card; if the drawn card is a Command or Rouse card, reduce its Arithmetica Cost to 0 and increase its owner's Aliemus by <Energy:[Arg1]>. Otherwise, discard that card and repeat this process."
Skill_36856_Desc,aLTI,j技能表_Skill_A.csv,46,Skill,Desc,,获得 [Arg1] 点临时<PowerIconKeywords:力量>，抽 2 张牌。若当前界域为「血肉」，损失 10% 当前生命，额外获得 [Arg2] 点临时<PowerIconKeywords:力量>，手中每有 1 张<DerivativeCardKeywords_2:「胚胎」>额外获得 [Arg2] 点临时<PowerIconKeywords:力量>。,"Draw 2 cards and gain [Arg1] Temp. <PowerIconKeywords:STR>. If the Realm includes Caro, consume 10% of your HP to gain another [Arg2] Temp. <PowerIconKeywords:STR>, and another [Arg2] Temp. <PowerIconKeywords:STR> for each <DerivativeCardKeywords_2:""Embryo""> in your hand."
Skill_36856_BattleDesc,aLTH,j技能表_Skill_A.csv,46,Skill,BattleDesc,,获得 [Arg1] 点临时<PowerIconKeywords:力量>，抽 2 张牌。若当前界域为「血肉」，损失 10% 当前生命([Arg3])，额外获得 [Arg2] 点临时<PowerIconKeywords:力量>，手中每有 1 张<DerivativeCardKeywords_2:「胚胎」>额外获得 [Arg2] 点临时<PowerIconKeywords:力量>。,"Draw 2 cards and gain [Arg1] Temp. <PowerIconKeywords:STR>. If the Realm includes Caro, consume <Damage:[Arg3]> (10% of current) HP to gain another [Arg2] Temp. <PowerIconKeywords:STR>, and another [Arg2] Temp. <PowerIconKeywords:STR> for each <DerivativeCardKeywords_2:""Embryo""> in your hand."
Skill_36853_Desc,aLTn,j技能表_Skill_A.csv,47,Skill,Desc,,获得 [Arg1] 点<PowerIconKeywords:力量>。受到攻击伤害时，下回合开始时获得 [Arg2]% 伤害的护盾。若当前界域为「血肉」，不再获得延迟护盾，而是积攒 10% 伤害的回复量到猩红熔炉。,"Gain [Arg1] <PowerIconKeywords:STR>. Until your next turn, whenever you take Active DMG, gain Delayed Shield equal to <Block:[Arg2]%> of that DMG. If the Realm includes Caro, instead accumulate Crimson Furnace equal to 10% of that DMG."
Skill_36854_Desc,aLTu,j技能表_Skill_A.csv,48,Skill,Desc,,获得 1 点算力和 [Arg1] 点<PowerIconKeywords:力量>，选择一名唤醒体获得 [Arg2] 点狂气。若当前界域为「深海」且处于「怒涛」姿态，效果改为获得 15% 临时暴击率和临时暴击伤害。,"Recover 1 Arithmetica and gain [Arg1] <PowerIconKeywords:STR>. Increase a chosen Awakener's Aliemus by <Energy:[Arg2]>. If your Tentacle Stance is Raging Waves, instead gain +15% Temporary Crit. Rate & Crit. DMG."
Skill_36855_Desc,aLTB,j技能表_Skill_A.csv,49,Skill,Desc,,界域精通提高 [Arg1]。选择 1 名唤醒体使其获得 <Energy:[Energy:Arg2]> 点狂气。,Increase <ProficientInRealmsIconKeywords:Realm Mastery> by [Arg1]. Increase a chosen Awakener's Aliemus by <Energy:[Energy:Arg2]>.
Skill_49416_Desc,aOUi,j技能表_Skill_A.csv,50,Skill,Desc,,选择 1 张手中的非衍生指令卡，获得一张附加<DepleteIconKeywords:消耗>的原始复制，并使指令卡的所有者获得 <Energy:[Arg1]> 点狂气。,Choose a Non-Derived Command card in hand and create a basic Copy of it. The copy has <DepleteIconKeywords:Exhaust>. Increase its owner's Aliemus by <Energy:[Arg1]>.
Skill_52698_Desc,aPjU,j技能表_Skill_A.csv,51,Skill,Desc,,抽 2 张牌，获得 2 点算力，所有唤醒体失去 5 点狂气。若当前处于「静海」姿态，对所有敌人施加 [Arg1] 层<IntoxicationIconKeywords:中毒>，在首领战中发挥 3 倍效果。,"Draw 2 cards. Recover 2 Arithmetica. All Awakeners lose <Energy:5> Aliemus. If your Tentacle Stance is ""Tranquil Sea"", inflict [Arg1] <IntoxicationIconKeywords:Poison> on all enemies. Inflict 3× that much <IntoxicationIconKeywords:Poison> instead in Final Battles."
Skill_56202_Desc,aPsv,j技能表_Skill_A.csv,52,Skill,Desc,,从四种<D06CardKeeperSkill:诗页>中选择一项，并将其从选项中移除。所有诗页都被选择后，重置。,Choose one of four <D06CardKeeperSkill:Poetry Pages> that haven't been chosen; reset after all <D06CardKeeperSkill:Poems> have been chosen.
Skill_56201_Desc,aPso,j技能表_Skill_A.csv,54,Skill,Desc,,获得 [Arg1] 点<PowerIconKeywords:力量>。,Gain [Arg1] <PowerIconKeywords:STR>.
Skill_56203_Desc,aPsC,j技能表_Skill_A.csv,55,Skill,Desc,,所有唤醒体获得 10 点狂气。,Increase all Awakeners' Aliemus by <Energy:10>.
Skill_56200_Desc,aPsh,j技能表_Skill_A.csv,56,Skill,Desc,,临时暴击率 +30%。,Gain +30% Temporary Crit. Rate.
Skill_58288_Desc,aPzV,j技能表_Skill_A.csv,57,Skill,Desc,,将 1 枚<C05_yansheng2:闪耀偏方骰子>置入手中，获得 [Arg1]% 临时暴击率。,Create 1 <C05_yansheng2:Shining Octahedron Dice> and gain [Arg1]% Temporary Crit. Rate.
Skill_60590_Desc,aPQd,j技能表_Skill_A.csv,58,Skill,Desc,,本回合下一张打出的卡牌若算力消耗大于等于 3，获得 2 点算力，否则抽 2 张牌。若为本场战斗中第 4 次生效，改为直接获得 4 张「灵感」。,"If the Arithmetica Cost of the next card you play this turn is 3 or more, recover 2 Arithmetica. Otherwise, draw 2 cards. If this is the 4th time this Posse was unleashed this battle, instead create 4 <DerivativeCardKeywords_4:""Insight"">."
Skill_60590_BattleDesc,aPQc,j技能表_Skill_A.csv,58,Skill,BattleDesc,,本回合下一张打出的卡牌若算力消耗大于等于 3，获得 2 点算力，否则抽 2 张牌。若为本场战斗中第 4 次生效，改为直接获得 4 张「灵感」。([Arg1]/4),"If the Arithmetica Cost of the next card you play this turn is 3 or more, recover 2 Arithmetica. Otherwise, draw 2 cards. If this is the 4th time this Posse was unleashed this battle, instead create 4 <DerivativeCardKeywords_4:""Insight"">. ([Arg1]/4)"
Skill_65357_Desc,aPVq,j技能表_Skill_A.csv,59,Skill,Desc,,选择一名唤醒体，抽 2 张该唤醒体的指令卡。,Choose an Awakener; draw 2 of their Command cards.
Skill_66499_Desc,aQdq,j技能表_Skill_A.csv,60,Skill,Desc,,<FaxianKeywords:发现> 3 个随机的钥令，选择其中 1 个触发其效果并获得 <Posse:[Arg1]> 点银钥能量。,<FaxianKeywords:Discover> 3 random Posses; unleash 1 and gain <Posse:[Arg1]> Keyflare.
Skill_70828_Desc,aQCM,j技能表_Skill_A.csv,62,Skill,Desc,,选择一名唤醒体获得 [Arg1] 点狂气，对所有敌人施加 [Arg2] 层<IntoxicationIconKeywords:中毒>，目标每损失 1％ 生命额外触发 1％ 中毒，至多触发 50％中毒。,"Increase a chosen Awakener's Aliemus by <Energy:[Arg1]>, and inflict [Arg2] <IntoxicationIconKeywords:Poison> on all enemies. For each 1% of HP the target is missing, trigger 1% of their <IntoxicationIconKeywords:Poison>, up to 50%."
Skill_80194_Desc,bsBW,j技能表_Skill_A.csv,63,Skill,Desc,,回复 [Arg1] 点生命，获得 [Arg2] 点力量。若克莱门汀在队伍中，使她本回合下次打出的指令卡伤害、护盾、生命回复、获得狂气、获得银钥能量的效果次数提高 1。,"Recover <Heal:[Arg1]> HP and gain [Arg2] <PowerIconKeywords:STR>. If Clementine is in your team, add 1 extra instance of the following effects to her next Command card you play: DMG, Shield, HP Recovery, Aliemus, and Keyflare."
Skill_84378_Desc,btTj,j技能表_Skill_A.csv,64,Skill,Desc,,获得 [Arg1] 点护盾，抽 [Arg2] 张牌。若克珀珊特在队伍中，还会将 1 张「领航」置入手中。,"Draw [Arg2] card(s). Gain <Block:[Arg1]> Shield. If Corposant is in your team, create 1 ""Pilot""."
Skill_90212_Desc,bxOS,j技能表_Skill_A.csv,65,Skill,Desc,,选择一名唤醒体使其获得 <Energy:[Energy:Arg3]> 点狂气，从抽牌堆中抽 [Arg2] 张算力消耗最低的卡牌。若卡斯托尔在队伍中，使其伤害强效临时提高 [Arg1]％。,"Increase a chosen Awakener's Aliemus by <Energy:[Energy:Arg3]>. Draw [Arg2] card(s) with the lowest Arithmetica Cost from the Draw Pile. If Castor is in your team, increase his Temp. DMG Amplification by [Arg1]%."
Skill_94561_Desc,byFS,j技能表_Skill_A.csv,66,Skill,Desc,,<TouquKeywords:偷取>所有敌人 [Arg1] 点 <PowerIconKeywords:力量>。若杜勒赛因在队伍中，获得 1 个「残骸」。,"<TouquKeywords:Steal> [Arg1] <PowerIconKeywords:STR> from all enemies. If Doresain is in your team, he gains 1 ""Corpse""."
Skill_94560_Desc,byFQ,j技能表_Skill_A.csv,67,Skill,Desc,,从出战唤醒体的技能卡中<FaxianKeywords:发现> 3 张，选择 1 张将其临时复制置入手中，并使其算力消耗降低 1。若当前界域为「血肉」，可以选择「一扫而光！」。,"<FaxianKeywords:Discover> 1 of 3 basic Skill Commands from the Awakeners in your team; it has <DepleteIconKeywords:Exhaust>, and its Arithmetica Cost is reduced by 1. If the Realm includes Caro, you may choose ""Gobble Up!"""
Skill_94565_Desc,byFU,j技能表_Skill_A.csv,68,Skill,Desc,,将全部卡牌置入手中，但不再降低算力消耗。,"Instead create all 3 Discovered Skill cards, but their Arithmetica Costs are not reduced."
Skill_70826_Desc,aQCy,j技能表_Skill_A.csv,69,Skill,Desc,,获得 <Block:[Block:Arg1]> 点护盾，获得 1 层「星辰庇佑」，最大积攒 5 层，战斗结束后不清除。,"Gain <Block:[Block:Arg1]> Shield and 1 stack of ""Stellar Protection"". Max 5 stacks. Stacks persist between battles."
Skill_70825_Desc,aQCr,j技能表_Skill_A.csv,70,Skill,Desc,,所有唤醒体获得 [Arg1] 点狂气。消耗所有「星辰庇佑」并获得与消耗层数相同的算力，若当前界域为「深海」，额外生成与消耗层数相同的临时触腕。,"Increase all Awakeners' Aliemus by <Energy:[Arg1]>. Consume all ""Stellar Protection"". For each stack consumed, recover 1 Arithmetica; if the Realm includes Aequor, also summon that many Temporary Tentacles."
Skill_70827_Desc,aQCF,j技能表_Skill_A.csv,71,Skill,Desc,,选择一名唤醒体，使其指令卡暴击率和暴击伤害临时提高 [Arg1]% 并获得 [Arg2] 点狂气。若莉兹在队伍中，还会将 1 张附加「消耗」的「腐化绿炎」置入手中。,"Increase a chosen Awakener's Aliemus by <Energy:[Arg2]>, and the Temp. Crit. Rate & Crit. DMG of their Command cards by [Arg1]%. If Liz is in your team, create 1 ""Corrupted Flames"" with <DepleteIconKeywords:Exhaust>."
Skill_4043_BattleDesc,aMga,j技能表_Skill_A.csv,28,Skill,BattleDesc,,对所有敌人造成 1 回合<WeaknessIconKeywords:虚弱>和<VulnerabilityIconKeywords:易伤>，临时降低所有敌人 [Arg1] 点<ExhaustionIconKeywords:力量>，每有 1 名敌人获得 [Arg1] 点临时<PowerIconKeywords:力量>。,"Inflict 1 turn of <WeaknessIconKeywords:Weakness> and <VulnerabilityIconKeywords:Vulnerable> on each enemy. For each enemy, inflict [Arg1] Temp. <ExhaustionIconKeywords:STR▼> on them and gain [Arg1] Temp. <PowerIconKeywords:STR>."
Skill_94561_BattleDesc,bCWd,j技能表_Skill_A.csv,67,Skill,BattleDesc,,临时降低所有敌人 [Arg1] 点<PowerIconKeywords:力量>，每有 1 名敌人获得 [Arg1] 点临时<PowerIconKeywords:力量>。若杜勒赛因在队伍中，获得 1 个「残骸」。,"For each enemy, inflict [Arg1] <ExhaustionIconKeywords:STR▼> on them and gain [Arg1] <PowerIconKeywords:STR>. If Doresain is in your team, he gains 1 ""Corpse""."
Skill_97917_Desc,bCbf,j技能表_Skill_A.csv,74,Skill,Desc,,获得 1 点算力和 [Arg1]％ 临时强效。若凯蒂古拉在队伍中，抽 1 张其「指令卡」并赋予 1 层「<HuoyanKeywords:活焰>」,"Recover 1 Arithmetica and gain [Arg1]% Temp. DMG Amplification. If Kathigu-Ra is in your team, draw 1 of her cards and apply 1 stack of <HuoyanKeywords:""Fiamma""> to it."
Skill_97919_Desc,bBNs,j技能表_Skill_A.csv,75,Skill,Desc,,选择 1 名唤醒体，将 1 张算力消耗为 0 的临时「打击」置入手中。每第 3 次释放，改为将 1 张「美丽瞬间」置入手中，并使所有唤醒体临时暴击率提高 [Arg1]％。,"Choose an Awakener; create 1 of their basic Strike Commands. It has <DepleteIconKeywords:Exhaust>. Every 3rd time this is unleashed, instead create 1 <DerivativeCardKeywords_40:""Fleeting Beauty""> and gain +[Arg1]% Temp. Crit. Rate."
Skill_97919_BattleDesc,bCmg,j技能表_Skill_A.csv,75,Skill,BattleDesc,,选择 1 名唤醒体，将 1 张算力消耗为 0 的临时「打击」置入手中。每第 3 次释放，改为将 1 张「美丽瞬间」置入手中，并使所有唤醒体临时暴击率提高 [Arg1]％(当前已释放 [Arg2] 次)。,"Choose an Awakener; create 1 of their basic Strike Commands. It has <DepleteIconKeywords:Exhaust>. Every 3rd time this is unleashed, instead create 1 <DerivativeCardKeywords_40:""Fleeting Beauty""> and gain +[Arg1]% Temp. Crit. Rate. ([Arg2]/3)"
Skill_100304_Desc,bCuK,j技能表_Skill_A.csv,76,Skill,Desc,,选择一名唤醒体获得 [Arg1] 点狂气，将 1 张 <DerivativeCardKeywords_4:「灵感」>洗入抽牌堆。若皮克曼在队伍中，使其获得 1 层「<Chuangyi:创意>」。,"Increase a chosen Awakener's Aliemus by <Energy:[Arg1]>, and shuffle 1 <DerivativeCardKeywords_4:""Insight""> into the Draw Pile. If Pickman is in your team, he gains 1 stack of ""<Chuangyi:Creativity>""."
