Key,ShortKey,Source,Row,Module,Field,Character,CN,KR
AvgCommunicate_60943_Content_3,abKv,avg通讯器聊天表_AvgCommunicate_A_M.csv,1170,AvgCommunicate,Content,拉蒙娜,另外我为你申请了额外的应急灵知体，虽然人手不够，但我会尽量为你申请其他人陪同。,"그리고 널 위해 응급 영지체도 추가로 신청해뒀어. 일손이 부족하지만, 동행 신청을 최대한 많이 넣어볼게."
AvgCommunicate_60943_Option_4,abKK,avg通讯器聊天表_AvgCommunicate_A_M.csv,1171,AvgCommunicate,Option,玩家,拉蒙娜。,라모나.
AvgCommunicate_60943_Content_4,abKw,avg通讯器聊天表_AvgCommunicate_A_M.csv,1171,AvgCommunicate,Content,玩家,拉蒙娜。,라모나.
AvgCommunicate_60943_Content_5,abKx,avg通讯器聊天表_AvgCommunicate_A_M.csv,1172,AvgCommunicate,Content,玩家,我知道你在担心我，谢谢你为我做的一切。,네가 나를 많이 걱정한다는 건 잘 알아. 지금까지 날 위해 해준 일들도 정말 고마워.
AvgCommunicate_60943_Content_6,abKy,avg通讯器聊天表_AvgCommunicate_A_M.csv,1173,AvgCommunicate,Content,玩家,但我已经不是刚入学那个弱小无知的我了，我能应付的。,그렇지만 난 더 이상 입학식 때처럼 약하고 무지한 내가 아니야. 나도 혼자서 잘할 수 있어.
AvgCommunicate_60943_Content_7,abKz,avg通讯器聊天表_AvgCommunicate_A_M.csv,1174,AvgCommunicate,Content,拉蒙娜,我当然信任你的能力，只是……,물론 네 능력을 믿지만……
AvgCommunicate_60943_Content_8,abKA,avg通讯器聊天表_AvgCommunicate_A_M.csv,1175,AvgCommunicate,Content,拉蒙娜,对不起，我习惯推演所有事了，如果我不在的话，我总会忍不住向最坏的可能去想。,"미안, 뭐든지 너무 깊이 생각하는 버릇이 있어서... 내가 함께하지 못할 때는 항상 최악의 경우까지 상상하게 돼."
AvgCommunicate_60943_Content_9,abKB,avg通讯器聊天表_AvgCommunicate_A_M.csv,1176,AvgCommunicate,Content,拉蒙娜,我无法接受自己阻止不了那个最坏的结局……,내가 그 최악의 결말을 막지 못한다는 건 도저히 견딜 수 없어...
AvgCommunicate_60943_Option_10,abKD,avg通讯器聊天表_AvgCommunicate_A_M.csv,1177,AvgCommunicate,Option,玩家,我知道的，你总是为大家考虑所有。,"알아, 넌 항상 모두를 생각해 주잖아."
AvgCommunicate_60943_Content_10,abKp,avg通讯器聊天表_AvgCommunicate_A_M.csv,1177,AvgCommunicate,Content,玩家,我知道的，你总是为大家考虑所有。,"알아, 넌 항상 모두를 생각해 주잖아."
AvgCommunicate_60943_Content_11,abKq,avg通讯器聊天表_AvgCommunicate_A_M.csv,1178,AvgCommunicate,Content,玩家,但，你也该开始学着将后背放心交给我了？搭档。,"하지만, 너도 이제는 내게 등을 맡기는 법을 배워야 하지 않겠어? 파트너."
AvgCommunicate_60943_Content_12,abKr,avg通讯器聊天表_AvgCommunicate_A_M.csv,1179,AvgCommunicate,Content,拉蒙娜,……,…
AvgCommunicate_60943_Content_13,abKs,avg通讯器聊天表_AvgCommunicate_A_M.csv,1180,AvgCommunicate,Content,拉蒙娜,你说得对。,네 말이 맞아.
AvgCommunicate_60943_Content_14,abKt,avg通讯器聊天表_AvgCommunicate_A_M.csv,1181,AvgCommunicate,Content,拉蒙娜,那么，这次就要依靠你的支援了，搭档。,"그렇다면 이번에는 너에게 맡겨야겠네, 파트너."
AvgCommunicate_70491_Content_1,acHI,avg通讯器聊天表_AvgCommunicate_A_M.csv,1869,AvgCommunicate,Content,拉蒙娜,继任守密人之后的第一个外勤任务结束了。,수호자로서의 첫 현장 임무를 마쳤네.
AvgCommunicate_70491_Content_2,acHR,avg通讯器聊天表_AvgCommunicate_A_M.csv,1870,AvgCommunicate,Content,拉蒙娜,恭喜。,축하해.
AvgCommunicate_70491_Option_3,acIj,avg通讯器聊天表_AvgCommunicate_A_M.csv,1871,AvgCommunicate,Option,玩家,有很多遗憾，但我们走在正确的道路上。,"아쉬움이 많지만, 그래도 우리는 올바른 길로 가고 있어."
AvgCommunicate_70491_Content_3,acHS,avg通讯器聊天表_AvgCommunicate_A_M.csv,1871,AvgCommunicate,Content,玩家,我没有想到，第一次正式的外勤任务就会面对这些。,상상도 못 했어. 공식적인 첫 현장 임무부터 이런 일들을 겪게 될 줄이야.
AvgCommunicate_70491_Content_4,acHT,avg通讯器聊天表_AvgCommunicate_A_M.csv,1872,AvgCommunicate,Content,玩家,但无论如何，我们成功了。,그래도 결국에는 성공했어.
AvgCommunicate_70491_Content_5,acHU,avg通讯器聊天表_AvgCommunicate_A_M.csv,1873,AvgCommunicate,Content,玩家,我们走在正确的道路上。,우리는 올바른 길로 가고 있어.
AvgCommunicate_70491_Content_6,acHV,avg通讯器聊天表_AvgCommunicate_A_M.csv,1874,AvgCommunicate,Content,拉蒙娜,没错，守密人。,"맞아, 수호자."
AvgCommunicate_70491_Content_7,acHW,avg通讯器聊天表_AvgCommunicate_A_M.csv,1875,AvgCommunicate,Content,拉蒙娜,我们会沿着这条路，一直走下去。,우리는 이 길을 계속 걸어갈거야.
AvgCommunicate_70491_Option_8,acIo,avg通讯器聊天表_AvgCommunicate_A_M.csv,1876,AvgCommunicate,Option,玩家,问题暂时解决了，但有些遗憾永远也无法弥补。,"문제는 일단 해결되었지만, 어떤 아쉬움들은 평생 해결할 수 없을거야."
AvgCommunicate_70491_Content_8,acHX,avg通讯器聊天表_AvgCommunicate_A_M.csv,1876,AvgCommunicate,Content,玩家,我没有成功完成一件的事的感觉，拉蒙娜。,"라모나, 나는 성공적으로 완수한 일이 하나도 없는 것처럼 느껴져."
AvgCommunicate_70491_Content_9,acHY,avg通讯器聊天表_AvgCommunicate_A_M.csv,1877,AvgCommunicate,Content,玩家,安德森学长，莎拉，艾继丝……,"앤더슨 선배, 사라, 아이기스……"
AvgCommunicate_70491_Content_10,acHJ,avg通讯器聊天表_AvgCommunicate_A_M.csv,1878,AvgCommunicate,Content,玩家,我没有想到，第一次正式的外勤任务就会面对这些。,상상도 못 했어. 공식적인 첫 현장 임무부터 이런 일들을 겪게 될 줄이야.
AvgCommunicate_70491_Content_11,acHK,avg通讯器聊天表_AvgCommunicate_A_M.csv,1879,AvgCommunicate,Content,拉蒙娜,因为你是守密人。,그건 네가 수호자이기 때문이야.
AvgCommunicate_70491_Content_12,acHL,avg通讯器聊天表_AvgCommunicate_A_M.csv,1880,AvgCommunicate,Content,拉蒙娜,有很多人离开了，但有更多人因你而得救。,"많은 사람을 잃었지만, 더 많은 사람이 네 덕분에 살아난 거야."
AvgCommunicate_70491_Content_13,acHM,avg通讯器聊天表_AvgCommunicate_A_M.csv,1881,AvgCommunicate,Content,拉蒙娜,我们走在正确的道路上。,우리는 올바른 길로 가고 있어.
AvgCommunicate_70491_Option_14,acIe,avg通讯器聊天表_AvgCommunicate_A_M.csv,1882,AvgCommunicate,Option,玩家,你说的没错……,네 말이 맞아……
AvgCommunicate_70491_Content_14,acHN,avg通讯器聊天表_AvgCommunicate_A_M.csv,1882,AvgCommunicate,Content,玩家,你说的没错，拉蒙娜。,"네 말이 맞아, 라모나."
AvgCommunicate_70491_Content_15,acHO,avg通讯器聊天表_AvgCommunicate_A_M.csv,1883,AvgCommunicate,Content,玩家,有更多人因我们而得救。,더 많은 사람이 우리 덕분에 살았어.
AvgCommunicate_70491_Content_16,acHP,avg通讯器聊天表_AvgCommunicate_A_M.csv,1884,AvgCommunicate,Content,玩家,我们会沿着这条路，一直走下去。,우리는 이 길을 계속해서 걸어갈거야.
AvgCommunicate_70491_Content_17,acHQ,avg通讯器聊天表_AvgCommunicate_A_M.csv,1885,AvgCommunicate,Content,玩家,一定！,반드시!
AvgCommunicate_70516_Content_1,acZQ,avg通讯器聊天表_AvgCommunicate_A_M.csv,2165,AvgCommunicate,Content,拉蒙娜,%player%……,%player%...
AvgCommunicate_70516_Option_2,adai,avg通讯器聊天表_AvgCommunicate_A_M.csv,2166,AvgCommunicate,Option,玩家,拉蒙娜？！你还好吗？,라모나?! 괜찮아?
AvgCommunicate_70516_Content_2,acZV,avg通讯器聊天表_AvgCommunicate_A_M.csv,2166,AvgCommunicate,Content,玩家,拉蒙娜？！你还好吗？,라모나?! 괜찮아?
AvgCommunicate_70516_Content_3,acZW,avg通讯器聊天表_AvgCommunicate_A_M.csv,2167,AvgCommunicate,Content,拉蒙娜,嗯，我没事。,"응, 난 괜찮아."
AvgCommunicate_70516_Content_4,acZX,avg通讯器聊天表_AvgCommunicate_A_M.csv,2168,AvgCommunicate,Content,拉蒙娜,刚刚遇到几个审查会的人，已经处理好了。,"방금 심사회 사람들과 마주쳤는데, 이미 처리했어."
AvgCommunicate_70516_Content_5,acZY,avg通讯器聊天表_AvgCommunicate_A_M.csv,2169,AvgCommunicate,Content,拉蒙娜,我想过来和你汇合，但我看到路上有一队审查会的人朝着教学楼去了……,"너와 합류하려고 했는데, 심사회 사람들이 교육관으로 가는 걸 봤어……"
AvgCommunicate_70516_Content_6,acZZ,avg通讯器聊天表_AvgCommunicate_A_M.csv,2170,AvgCommunicate,Content,拉蒙娜,许多师生都在那里上课，我担心审查会的人会对他们不利。,지금 교육관에는 수업 중인 교수님들과 학생들이 많아. 심사회 사람들이 교수님들이나 학생들에게 무슨 짓이라도 할까 봐 걱정돼.
AvgCommunicate_70516_Content_7,adaa,avg通讯器聊天表_AvgCommunicate_A_M.csv,2171,AvgCommunicate,Content,拉蒙娜,我得去护送他们到安全的地方。,내가 학교 사람들을 안전한 곳으로 데려가야 해.
AvgCommunicate_70516_Option_8,adao,avg通讯器聊天表_AvgCommunicate_A_M.csv,2172,AvgCommunicate,Option,玩家,照顾好自己，拉蒙娜！,"라모나, 몸조심해!"
AvgCommunicate_70516_Content_8,adab,avg通讯器聊天表_AvgCommunicate_A_M.csv,2172,AvgCommunicate,Content,玩家,我刚和克莱门汀交过手，这边的事情我来处理。,나는 방금 클레멘틴과 마주쳤어. 여기 일은 내가 처리하려고 해.
AvgCommunicate_70516_Content_9,adac,avg通讯器聊天表_AvgCommunicate_A_M.csv,2173,AvgCommunicate,Content,玩家,教学楼那边就交给你了。,교육관 쪽은 너한테 맡길게.
AvgCommunicate_70516_Content_10,acZR,avg通讯器聊天表_AvgCommunicate_A_M.csv,2174,AvgCommunicate,Content,玩家,一定要照顾好自己，拉蒙娜！,꼭 조심해야 해!
AvgCommunicate_70516_Content_11,acZS,avg通讯器聊天表_AvgCommunicate_A_M.csv,2175,AvgCommunicate,Content,拉蒙娜,对你的搭档这么没信心？,파트너에 대한 신뢰가 부족한 거 아니야?
AvgCommunicate_70516_Content_12,acZT,avg通讯器聊天表_AvgCommunicate_A_M.csv,2176,AvgCommunicate,Content,拉蒙娜,放心，我把这边的事情处理好之后就去和你汇合。,"걱정 마, 이쪽 일이 끝나면 바로 합류할게."
AvgCommunicate_70516_Content_13,acZU,avg通讯器聊天表_AvgCommunicate_A_M.csv,2177,AvgCommunicate,Content,拉蒙娜,你现在的处境最危险，一定小心一些，%player%……,"지금 네 상황이 가장 위험하니까, 반드시 조심해. %player%……"
AvgCommunicate_70497_Content_1,acLU,avg通讯器聊天表_AvgCommunicate_A_M.csv,2215,AvgCommunicate,Content,？？？,你好啊，守密人%sirormadam%。,"안녕, 수호자."
AvgCommunicate_70497_Content_2,acLV,avg通讯器聊天表_AvgCommunicate_A_M.csv,2216,AvgCommunicate,Content,？？？,跟于丽埃特的玩具玩得开心吗？,유리엣트의 장난감과 재밌게 놀았니?
AvgCommunicate_70497_Option_3,acMe,avg通讯器聊天表_AvgCommunicate_A_M.csv,2217,AvgCommunicate,Option,玩家,你是……那个内鬼？！,너는… 내통자?!
AvgCommunicate_70497_Content_3,acLW,avg通讯器聊天表_AvgCommunicate_A_M.csv,2217,AvgCommunicate,Content,玩家,你是……那个内鬼？！,너는… 내통자?!
AvgCommunicate_70497_Content_4,acLX,avg通讯器聊天表_AvgCommunicate_A_M.csv,2218,AvgCommunicate,Content,？？？,本来以为你应该早一点想到我是谁的。真是遗憾。,내가 누구인지는 진작에 알아챘을 거라 생각했는데. 아쉽네.
AvgCommunicate_70497_Content_5,acLY,avg通讯器聊天表_AvgCommunicate_A_M.csv,2219,AvgCommunicate,Content,？？？,不过没关系，只是一场最后的游戏而已。,"하지만 괜찮아, 결국 마지막 게임일 뿐이니까."
AvgCommunicate_70497_Content_6,acLZ,avg通讯器聊天表_AvgCommunicate_A_M.csv,2220,AvgCommunicate,Content,？？？,现在，游戏就要结束了。,이제 게임은 곧 끝날 거야.
AvgCommunicate_70497_Content_7,acMa,avg通讯器聊天表_AvgCommunicate_A_M.csv,2221,AvgCommunicate,Content,？？？,在注定的毁灭到来之前，我只好奇一件事。,"예정된 파멸이 도래하기 전, 내가 궁금한 건 딱 한 가지야."
AvgCommunicate_70497_Content_8,acMb,avg通讯器聊天表_AvgCommunicate_A_M.csv,2222,AvgCommunicate,Content,？？？,那永恒混沌的真相，我们大言不惭的守密人，弥萨格英勇的救世主，真的有勇气面对吗？,"우리의 당돌한 수호자, 미사그의 용감한 구세주는 과연 그 영원한 혼돈의 진실을 제대로 마주할 용기가 있을까?"
AvgCommunicate_70493_Content_1,acIQ,avg通讯器聊天表_AvgCommunicate_A_M.csv,2223,AvgCommunicate,Content,拉蒙娜,你的遗书，我念完了。,"네 유서, 다 읽었어."
AvgCommunicate_70493_Content_2,acJb,avg通讯器聊天表_AvgCommunicate_A_M.csv,2224,AvgCommunicate,Content,拉蒙娜,我试着按照你的愿望，用欣慰的语气念诵那些文字。,"네 바람대로, 최대한 안심이 될만한 어조로 유서를 읽어봤어."
AvgCommunicate_70493_Content_3,acJi,avg通讯器聊天表_AvgCommunicate_A_M.csv,2225,AvgCommunicate,Content,拉蒙娜,我尽力了。可我做不到，%player%……,"난 정말 최선을 다했어. 그런데 못 하겠더라고, %player%…"
AvgCommunicate_70493_Content_4,acJj,avg通讯器聊天表_AvgCommunicate_A_M.csv,2226,AvgCommunicate,Content,拉蒙娜,钥冢里站满了人，我谁都看不到。,"열쇠 무덤에는 사람들이 가득했는데도, 그 누구도 제대로 보이지 않았어."
AvgCommunicate_70493_Content_5,acJk,avg通讯器聊天表_AvgCommunicate_A_M.csv,2227,AvgCommunicate,Content,拉蒙娜,整个世界都安静下来。只有雨声，只有你我。,"온 세상이 조용해졌어. 빗소리, 너, 그리고 나만 남기고."
AvgCommunicate_70493_Content_6,acJl,avg通讯器聊天表_AvgCommunicate_A_M.csv,2228,AvgCommunicate,Content,拉蒙娜,当那扇门在我面前关上，当那些文字一行一行在我眼前划过的时候，我所感到的，唯有悔恨。,"그 문이 내 앞에서 닫히고, 글자들이 한 줄씩 내 눈앞을 스칠 때, 내가 느낀 건 오직 후회뿐이었어."
AvgCommunicate_70493_Content_7,acJm,avg通讯器聊天表_AvgCommunicate_A_M.csv,2229,AvgCommunicate,Content,拉蒙娜,我后悔向你灌输那些调查员的理念，后悔教你那些调查的知识，后悔将你从阿库特带出来……,"너에게 조사원의 이념을 심어준 걸 후회하고, 조사와 관련된 지식을 가르쳐준 게 후회되고, 아쿠트에서 널 데리고 온 걸 후회해..."
AvgCommunicate_70493_Content_8,acJn,avg通讯器聊天表_AvgCommunicate_A_M.csv,2230,AvgCommunicate,Content,拉蒙娜,我知道，我不该这样想。,"알아, 그렇게 생각하면 안 되겠지."
AvgCommunicate_70493_Content_9,acJo,avg通讯器聊天表_AvgCommunicate_A_M.csv,2231,AvgCommunicate,Content,拉蒙娜,我是一名调查员。你将我们的世界从融蚀中解救，我应该替你感到欣慰。,"나는 조사원이야. 네가 우리 세계를 융식으로부터 구해냈으니, 널 위해 안도할 거야."
AvgCommunicate_70493_Content_10,acIR,avg通讯器聊天表_AvgCommunicate_A_M.csv,2232,AvgCommunicate,Content,拉蒙娜,我也一定会骄傲地向人们讲述你的事迹，直到……我的记忆被融蚀的那天。,반드시 네 이야기를 자랑스럽게 사람들에게 전할 거야. 내 기억이 융식에 지워지는 그날까지.
AvgCommunicate_70493_Content_11,acIS,avg通讯器聊天表_AvgCommunicate_A_M.csv,2233,AvgCommunicate,Content,拉蒙娜,可念诵遗书的时候，可此刻，悔恨是我全部的念头。,"하지만 내가 유서를 읽는 순간만큼은, 후회밖에 떠오르지 않았어."
AvgCommunicate_70493_Content_12,acIT,avg通讯器聊天表_AvgCommunicate_A_M.csv,2234,AvgCommunicate,Content,拉蒙娜,你说自己是个胆小鬼。你说你永远也不舍得抛下我们。,넌 네가 겁쟁이라고 말했지. 절대로 우리를 떠나지 않을 거라고 말했어.
AvgCommunicate_70493_Content_13,acIU,avg通讯器聊天表_AvgCommunicate_A_M.csv,2235,AvgCommunicate,Content,拉蒙娜,可最后，你还是走上了这条路。,하지만 결국 넌 이 길을 걸었어.
AvgCommunicate_70493_Content_14,acIV,avg通讯器聊天表_AvgCommunicate_A_M.csv,2236,AvgCommunicate,Content,拉蒙娜,父亲不在了。你也不在了。,아버지는 이제 여기 없어. 너도 여기 없고.
AvgCommunicate_70493_Content_15,acIW,avg通讯器聊天表_AvgCommunicate_A_M.csv,2237,AvgCommunicate,Content,拉蒙娜,我不介意你说的那些谎言。我多希望你能多骗我一段时间。一年，一个月……,"네가 했던 말들이 거짓말이라 해도 상관없어. 조금만 더 나를 속여줬으면 좋겠어. 일 년이든, 한 달이든……"
AvgCommunicate_70493_Content_16,acIX,avg通讯器聊天表_AvgCommunicate_A_M.csv,2238,AvgCommunicate,Content,拉蒙娜,哪怕只有一天，那些没来得及说的话，至少也有机会说出来……,"하루라도 좋으니, 전하지 못했던 말들을 전할 기회라도 있었으면…"
AvgCommunicate_70493_Content_17,acIY,avg通讯器聊天表_AvgCommunicate_A_M.csv,2239,AvgCommunicate,Content,拉蒙娜,我很害怕，%player%。,"난 정말 두려워, %player%."
AvgCommunicate_70493_Content_18,acIZ,avg通讯器聊天表_AvgCommunicate_A_M.csv,2240,AvgCommunicate,Content,拉蒙娜,我害怕有一天会忘记你的样子，你的名字。,내가 언젠가 네 모습과 네 이름을 잊어버릴까 봐 두려워.
AvgCommunicate_70493_Content_19,acJa,avg通讯器聊天表_AvgCommunicate_A_M.csv,2241,AvgCommunicate,Content,拉蒙娜,我害怕，有一天你会从我的记忆里彻底消失……,언젠가 너라는 존재가 내 기억에서 완전히 사라질 거라 생각하면 너무 두려워.
AvgCommunicate_70493_Content_20,acJc,avg通讯器聊天表_AvgCommunicate_A_M.csv,2242,AvgCommunicate,Content,拉蒙娜,可你知道，我不是一个会放弃的人。,하지만 넌 내가 쉽게 포기하지 않는 성격이라는 거 알고 있잖아.
AvgCommunicate_70493_Content_21,acJd,avg通讯器聊天表_AvgCommunicate_A_M.csv,2243,AvgCommunicate,Content,拉蒙娜,我不相信，你会就这样消失不见。,나는 네가 이렇게 순식간에 사라져 버릴 거라고 믿지 않아.
AvgCommunicate_70493_Content_22,acJe,avg通讯器聊天表_AvgCommunicate_A_M.csv,2244,AvgCommunicate,Content,拉蒙娜,无论等多久，我都会等着，铭记着。直到你从黑池醒过来，打开那扇门，回到这座校园的那天。,"그 세월이 얼마가 되든, 나는 끝까지 기다리고 기억할 거야. 네가 블랙풀에서 깨어나서 그 문을 열고 이 캠퍼스로 돌아오는 그날까지."
