Key,ShortKey,Source,Row,Module,Field,Role,CN,JP,,,,,,,,,,,,,,
AvgDialog_60107_Content_24,anKV,avg章8_AvgDialog_C_M.csv,31,AvgDialog,Content,克莱门汀？,有幸的话，能否带上我们一起呢？,もしよろしければ、わたしたちもご一緒してよろしいでしょうか？,,,,,,,,,,,,,,
AvgDialog_60107_Content_25,anKW,avg章8_AvgDialog_C_M.csv,32,AvgDialog,Content,奥吉尔,！！！,！！！,,,,,,,,,,,,,,
AvgDialog_60107_Content_26,anKX,avg章8_AvgDialog_C_M.csv,33,AvgDialog,Content,,奥吉尔猛然转过身。,オジールは、はっとして勢いよく振り返った。,,,,,,,,,,,,,,
AvgDialog_60107_Content_27,anKY,avg章8_AvgDialog_C_M.csv,34,AvgDialog,Content,,弥萨格的校门悄无声息地打开，那本应将弥萨格与外界隔绝开的浓厚迷雾中，缓缓走出一群人。,校門が、音もなく開く。ミサゴ大学と外界を遮断しているはずの濃霧の中から、数名の人影がゆるゆると姿を現した。,,,,,,,,,,,,,,
AvgDialog_60107_Content_28,anKZ,avg章8_AvgDialog_C_M.csv,35,AvgDialog,Content,,在他们的制服上，密斯底亚协定审查会的标志清晰可见。,彼らが纏う制服にあしらわれている紋章は、間違いなくミスティア協定審査会のものであった。,,,,,,,,,,,,,,
AvgDialog_60107_Content_29,anLa,avg章8_AvgDialog_C_M.csv,36,AvgDialog,Content,奥吉尔,你……你们是……,あ、あなたたちは……,,,,,,,,,,,,,,
AvgDialog_60107_Content_30,anLc,avg章8_AvgDialog_C_M.csv,37,AvgDialog,Content,,为首的探员从怀中掏出一张带有印章和暗纹的纸，递到奥吉尔面前。,戦闘の監視員が、懐から印章と透かしの入った書類を取り出し、オジールに差し出す。,,,,,,,,,,,,,,
AvgDialog_60107_Content_31,anLd,avg章8_AvgDialog_C_M.csv,38,AvgDialog,Content,审查会领队,经查，以阿利斯泰尔为首的弥萨格成员，擅自利用黑池进行非法融蚀研究，严重威胁雷欧公民安全。,調査の結果、アリステアを筆頭としたミサゴ大学の構成員が、昏き海を無断で利用し、違法な融蝕研究を行っていることが判明した。\nこれは、レオ市民の安全を脅かす行為に他ならない。,,,,,,,,,,,,,,
AvgDialog_60107_Content_32,anLe,avg章8_AvgDialog_C_M.csv,39,AvgDialog,Content,审查会领队,密斯底亚协定审查会特别行动组，奉命前来接管弥萨格，逮捕违法人员。,ミスティア協定審査会特別執行チームは、ミサゴ大学の接収と違反者逮捕の命を受け、派遣されたものである。,,,,,,,,,,,,,,
AvgDialog_60107_Content_33,anLf,avg章8_AvgDialog_C_M.csv,40,AvgDialog,Content,奥吉尔,审查会……罪犯……可我们从来没有收到过通知！,審査会……違反者……？\n僕たちは通知なんか受けていません！,,,,,,,,,,,,,,
AvgDialog_60107_Content_34,anLg,avg章8_AvgDialog_C_M.csv,41,AvgDialog,Content,审查会领队,审查会的行动可不需要向贵校进行通知，小家伙。,小僧めが。\n審査会の行動は、貴様らの大学への通知を必要とはせん。,,,,,,,,,,,,,,
AvgDialog_60107_Content_35,anLh,avg章8_AvgDialog_C_M.csv,42,AvgDialog,Content,萝坦,是吗？可我记得弥萨格的规定不是这样的。,そうなのか？\nそれは、我の記憶にあるミサゴ大学の規則とは異なっておるな。,,,,,,,,,,,,,,
AvgDialog_60107_Content_36,anLi,avg章8_AvgDialog_C_M.csv,43,AvgDialog,Content,,萝坦提着剑站起身来。,ロータンは剣を手に立ち上がった。,,,,,,,,,,,,,,
AvgDialog_60107_Content_37,anLj,avg章8_AvgDialog_C_M.csv,44,AvgDialog,Content,萝坦,我不知道你们是怎么穿过校外的迷雾的，想来你在被击败之前，也不会这么坦诚。,お前たちがいかにして校外の霧を抜けたのか、我には分からぬ。\nだが、敗れる前に素直に話すような相手でもあるまい。,,,,,,,,,,,,,,
AvgDialog_60107_Content_38,anLk,avg章8_AvgDialog_C_M.csv,45,AvgDialog,Content,萝坦,弥萨格的规矩，未经同意擅自闯入的人，无论是谁，都将被视为入侵者。,ミサゴ大学の規則では、許可なく立ち入った者は誰であろうと、侵入者と見なす。,,,,,,,,,,,,,,
AvgDialog_60107_Content_39,anLl,avg章8_AvgDialog_C_M.csv,46,AvgDialog,Content,审查会队长,请注意你的言辞，女士。你现在是在和审查会对话！,言葉を慎め、女。\n貴様は今、審査会と話しているのだぞ！,,,,,,,,,,,,,,
AvgDialog_60107_Content_40,anLn,avg章8_AvgDialog_C_M.csv,47,AvgDialog,Content,萝坦,抱歉，我的通识课学得不好。审查会……是什么？,相すまぬ。我は教養が足りなくてな。\n審査会とは……なんだ？,,,,,,,,,,,,,,
AvgDialog_60107_Content_41,anLo,avg章8_AvgDialog_C_M.csv,48,AvgDialog,Content,审查会队长,！！！,！！！,,,,,,,,,,,,,,
AvgDialog_60107_Content_42,anLp,avg章8_AvgDialog_C_M.csv,49,AvgDialog,Content,,没等他看清楚，萝坦的身影已来到他身后。,男が見定めるより早く、ロータンは彼の背後に姿を現した。,,,,,,,,,,,,,,
AvgDialog_60107_Content_43,anLq,avg章8_AvgDialog_C_M.csv,50,AvgDialog,Content,,奥吉尔默契地跟随萝坦，在她身后架开护盾。,オジールはロータンの動きに合わせ、彼女の後方で素早く盾を展開する。,,,,,,,,,,,,,,
AvgDialog_60107_Content_44,anLr,avg章8_AvgDialog_C_M.csv,51,AvgDialog,Content,萝坦,弥萨格可不是你们想来就来的地方，小子。,ミサゴ大学はお前たちが好きに踏み込める場所ではないぞ。\n小僧めが。,,,,,,,,,,,,,,
AvgDialog_60107_Content_45,anLs,avg章8_AvgDialog_C_M.csv,52,AvgDialog,Content,,萝坦倒提巨剑，用剑柄势不可挡地袭向审查会领队——,ロータンは剣を逆手に、柄の先を審査会の隊長に向けて振りかぶった——,,,,,,,,,,,,,,
AvgDialog_60107_Content_46,anLt,avg章8_AvgDialog_C_M.csv,53,AvgDialog,Content,,叮——,リーン——,,,,,,,,,,,,,,
AvgDialog_60107_Content_47,anLu,avg章8_AvgDialog_C_M.csv,54,AvgDialog,Content,克莱门汀？,平息你的怒火，倾听意识深处的声音。,怒りを鎮めて。\n意識の奥底より響く声に、耳を傾けるのです。,,,,,,,,,,,,,,
AvgDialog_60107_Content_48,anLv,avg章8_AvgDialog_C_M.csv,55,AvgDialog,Content,克莱门汀？,陷入安宁的沉睡吧，我的朋友。这一切的纷扰，都与你们无关……,安らかにお眠りなさい、友よ。\nこの騒ぎのすべては、あなたたちには関わりのないこと……,,,,,,,,,,,,,,
AvgDialog_60107_Content_49,anLw,avg章8_AvgDialog_C_M.csv,56,AvgDialog,Content,,清脆的风铃声不知从何处响起，明明微弱、遥远，传进耳中又异常清晰。,どこからともなく、澄んだ風鈴の音が響く。遠くからかすかに聴こえているはずなのに、耳に届くその音は、不思議なほど鮮明だった。,,,,,,,,,,,,,,
AvgDialog_60107_Content_50,anLy,avg章8_AvgDialog_C_M.csv,57,AvgDialog,Content,,萝坦的巨剑与奥吉尔的枪盾掉落在地。毫无防备的两人，在听到风铃声的瞬间便失去了全部的力气。,ロータンの剣とオジールの槍、盾すらも地面に落ちた。風鈴の音を聞いた瞬間、無防備なその体から、すべての力が失われたのだ。,,,,,,,,,,,,,,
AvgDialog_60107_Content_51,anLz,avg章8_AvgDialog_C_M.csv,58,AvgDialog,Content,,强烈的困意席卷了他们的身体。他们用力睁开眼。,強烈な眠気が襲いかかる。\n彼らは目をこじ開けようと、必死に抗った。,,,,,,,,,,,,,,
AvgDialog_60107_Content_52,anLA,avg章8_AvgDialog_C_M.csv,59,AvgDialog,Content,,模糊的视线里，一个女人的身影从迷雾后方缓缓走出。,霞む視界の中、女が霧の向こうからゆっくりと姿を現す。,,,,,,,,,,,,,,
AvgDialog_60107_Content_53,anLB,avg章8_AvgDialog_C_M.csv,60,AvgDialog,Content,克莱门汀八章,不愧是弥萨格。这里的风景，和传闻中一样迷人。,さすがはミサゴ大学。\nここの景色は、噂に違わず魅力的ですね。,,,,,,,,,,,,,,
AvgDialog_60107_Content_54,anLC,avg章8_AvgDialog_C_M.csv,61,AvgDialog,Content,奥吉尔,你……你是……,あ……あなたは……,,,,,,,,,,,,,,
AvgDialog_60107_Content_55,anLD,avg章8_AvgDialog_C_M.csv,62,AvgDialog,Content,克莱门汀八章,我们曾有过一面之缘，不过恐怕小先生已经忘记了。,前に一度お会いしましたね。でも、あなたはもうお忘れでしょう？,,,,,,,,,,,,,,
AvgDialog_60107_Content_56,anLE,avg章8_AvgDialog_C_M.csv,63,AvgDialog,Content,奥吉尔,济贫院……心理医生……,ワークハウスの……精神科医……,,,,,,,,,,,,,,
AvgDialog_60107_Content_57,anLF,avg章8_AvgDialog_C_M.csv,64,AvgDialog,Content,克莱门汀八章,啊，隔了这么久还能被人记住，何其荣幸。,ああ、こんなに時が経っても覚えていてくださったなんて、光栄です。,,,,,,,,,,,,,,
AvgDialog_60107_Content_58,anLG,avg章8_AvgDialog_C_M.csv,65,AvgDialog,Content,克莱门汀八章,很抱歉没有第一时间出来和你们见面，但面对弥萨格的唤醒体，想要强行闯入，的确需要一些小手段。,お待たせしてしまって、申し訳ありません。ミサゴ大学の覚醒体相手に強行突破するには、工夫が必要でしたから。,,,,,,,,,,,,,,
AvgDialog_60107_Content_59,anLH,avg章8_AvgDialog_C_M.csv,66,AvgDialog,Content,克莱门汀八章,好好休息吧。,どうぞごゆっくり、お休みください。,,,,,,,,,,,,,,
AvgDialog_60107_Content_60,anLJ,avg章8_AvgDialog_C_M.csv,67,AvgDialog,Content,,她轻轻拍了拍萝坦和奥吉尔的头。他们再也支撑不住，昏睡过去。,彼女はしなやかな仕草で、ロータンとオジールの頭をそっと撫でた。\n抗えぬ睡魔に、覚醒体たちは深い眠りへと落ちていった。,,,,,,,,,,,,,,
AvgDialog_60107_Content_61,anLK,avg章8_AvgDialog_C_M.csv,68,AvgDialog,Content,,克莱门汀站起身，手臂微微抬起，指向弥萨格内部。,クレメンタインはおもむろに立ち上がると、静かに腕を上げ、ミサゴ大学の内部を指さした。,,,,,,,,,,,,,,
AvgDialog_60107_Content_62,anLL,avg章8_AvgDialog_C_M.csv,69,AvgDialog,Content,克莱门汀八章,这座置身事外的校园，也该迎来它的命运了。,世間から隔離されたこの大学も、ついに運命の時が訪れたのです。,,,,,,,,,,,,,,
AvgDialog_60107_Content_63,anLM,avg章8_AvgDialog_C_M.csv,70,AvgDialog,Content,克莱门汀八章,弥萨格入侵行动，开始。,ミサゴ侵攻作戦、開始。,,,,,,,,,,,,,,
AvgDialog_60107_Content_64,anLN,avg章8_AvgDialog_C_M.csv,71,AvgDialog,Content,,12码外，汉娜躲在草丛里，紧紧捂住自己的嘴，不敢发出任何一点声音。,12ヤードほど離れた草むらの中に、ハンナはいた。\n強く口を押さえ、かすかな物音も立てないよう、じっと息を殺して。,,,,,,,,,,,,,,
AvgDialog_60107_Content_65,anLO,avg章8_AvgDialog_C_M.csv,72,AvgDialog,Content,,透过草丛的缝隙，她看着克莱门汀带领着审查会的人从两侧向弥萨格内部走去。,クレメンタインはメンバーを左右に分け、大学の外周からそれぞれ内部へと潜入させた。ハンナはその様子を、つぶさに見ていたのだ。,,,,,,,,,,,,,,
AvgDialog_60107_Content_66,anLP,avg章8_AvgDialog_C_M.csv,73,AvgDialog,Content,汉娜,大事……出大事了……,大変だ……一大事だよ、これは……,,,,,,,,,,,,,,
AvgDialog_60107_Content_67,anLQ,avg章8_AvgDialog_C_M.csv,74,AvgDialog,Content,汉娜,得赶紧告诉大家……还有守密人！,急いでみんなに知らせなきゃ。\nそれと……守秘者に！,,,,,,,,,,,,,,
AvgDialog_60107_Content_68,anLR,avg章8_AvgDialog_C_M.csv,75,AvgDialog,Content,,……,……,,,,,,,,,,,,,,
AvgDialog_60107_Content_69,anLS,avg章8_AvgDialog_C_M.csv,76,AvgDialog,Content,,指挥家的指挥棒在空中划过一道悠扬的弧线。乐章来到收尾的阶段。,指揮者のタクトが、空中でのびやかな弧を描く。\n楽章は締めくくりの段階に入る。,,,,,,,,,,,,,,
AvgDialog_60107_Content_70,anLU,avg章8_AvgDialog_C_M.csv,77,AvgDialog,Content,,强烈的和弦与复杂的多声部所编织出的惊心动魄的音景平息下来。,強烈な和音と複雑なポリフォニーによって編み出された驚天動地の音の情景が、一瞬にして静まり返る。,,,,,,,,,,,,,,
AvgDialog_60107_Content_71,anLV,avg章8_AvgDialog_C_M.csv,78,AvgDialog,Content,,长笛和竖琴的琶音缓缓飘出，如同黄昏正映照云朵。,フルートとハープのアルペジオがゆっくりと漂い始めるさまは、さながら夕映えが雲を照らしているかのようだ。,,,,,,,,,,,,,,
AvgDialog_60107_Content_72,anLW,avg章8_AvgDialog_C_M.csv,79,AvgDialog,Content,,和谐绵长的和弦缓缓消散在空气中，最后一记弦乐的休止记号将音符带入尾声。,調和のとれた長い和音がゆっくりと宙でほどけ、最後の弦楽器の休符が曲を終焉へと導く。,,,,,,,,,,,,,,
AvgDialog_60107_Content_73,anLX,avg章8_AvgDialog_C_M.csv,80,AvgDialog,Content,,在这悠远的一刻，指挥家收起了指挥棒。他沉默地计算着。,この悠久とも思えるひとときの中で、指揮者はタクトを収める。\n彼は黙したまま、心の中で計算していた。,,,,,,,,,,,,,,
AvgDialog_60107_Content_74,anLY,avg章8_AvgDialog_C_M.csv,81,AvgDialog,Content,,十秒，观众陶醉于乐声，剧院将陷入拂晓般的寂静。,10秒。その間観客は音の余韻に酔いしれ、劇場は夜明け前のような静寂に包まれる。,,,,,,,,,,,,,,
AvgDialog_60107_Content_75,anLZ,avg章8_AvgDialog_C_M.csv,82,AvgDialog,Content,,一分十五秒，观众的掌声将如同雷鸣，经久不息，再逐渐消散。,それから1分と15秒が過ぎ——拍手が雷鳴のように鳴り響いた。\n喝采は途切れることなく続き、やがて少しずつ薄れていく。,,,,,,,,,,,,,,
AvgDialog_60107_Content_76,anMa,avg章8_AvgDialog_C_M.csv,83,AvgDialog,Content,,二十五分，乐团与观众将完成离场。,25分後には、楽団も観客も退場し終えていた。,,,,,,,,,,,,,,
AvgDialog_60107_Content_77,anMb,avg章8_AvgDialog_C_M.csv,84,AvgDialog,Content,,时间与预想中分毫不差，如同第二场精准的演出。,タイムスケジュールは予想と寸分違わず、あたかも精密に計算された再公演のようだった。,,,,,,,,,,,,,,
AvgDialog_60107_Content_78,anMc,avg章8_AvgDialog_C_M.csv,85,AvgDialog,Content,,指挥家满意地点点头，对着空空荡荡的观众席，鞠躬致意。,指揮者は満足げに頷くと、誰もいない客席に向かって、深く一礼をした。,,,,,,,,,,,,,,
AvgDialog_60107_Content_79,anMd,avg章8_AvgDialog_C_M.csv,86,AvgDialog,Content,,……,……,,,,,,,,,,,,,,
AvgDialog_60107_Content_80,anMf,avg章8_AvgDialog_C_M.csv,87,AvgDialog,Content,,观众席侧面不起眼的角落中，一道轻微的掌声再次响起。,客席の隅にある目立たない位置から、小さな拍手の音が再び響いた。,,,,,,,,,,,,,,
AvgDialog_60107_Content_81,anMg,avg章8_AvgDialog_C_M.csv,88,AvgDialog,Content,于丽埃特八章,一场伟大的演出，哈姆林先生。,素晴らしい演奏でした、ハムリン先生。,,,,,,,,,,,,,,
AvgDialog_60107_Content_82,anMh,avg章8_AvgDialog_C_M.csv,89,AvgDialog,Content,哈姆林,或许算得上完整，但远远还称不上伟大。真正伟大的演出，在剧院之外。,完成しているとは言えるかもしれませんが、素晴らしいと呼ぶには程遠い。真に素晴らしい演奏は、劇場の外にあります。,,,,,,,,,,,,,,
AvgDialog_60107_Content_83,anMi,avg章8_AvgDialog_C_M.csv,90,AvgDialog,Content,,指挥家收起指挥棒，皱着眉头望向观众席侧台的女士。,指揮者はタクトを収めると眉をひそめ、客席横のテラスに立つ女性に目を向けた。,,,,,,,,,,,,,,
AvgDialog_60107_Content_84,anMj,avg章8_AvgDialog_C_M.csv,91,AvgDialog,Content,哈姆林,我们有言在先，你不应该出现在剧院内，于丽埃特女士。,あらかじめ約束したはずです、ジュリエット嬢。\nあなたは劇場に来るべきではないと。,,,,,,,,,,,,,,
AvgDialog_60107_Content_85,anMk,avg章8_AvgDialog_C_M.csv,92,AvgDialog,Content,哈姆林,我们的合作与演出无关，我不希望我的演出受到任何打扰。我以为你清楚这一点。,わたくしたちの協力関係と演奏は無関係です。わたくしは、演奏中のいかなる妨害も許容しません。あなたもご承知のはずです。,,,,,,,,,,,,,,
AvgDialog_60107_Content_86,anMl,avg章8_AvgDialog_C_M.csv,93,AvgDialog,Content,哈姆林,另外，以你的身份出现在这里，会带来不必要的麻烦。,あなたのような立場の方がここに来ると、不要な混乱を招きます。,,,,,,,,,,,,,,
AvgDialog_60107_Content_87,anMm,avg章8_AvgDialog_C_M.csv,94,AvgDialog,Content,于丽埃特八章,当然，哈姆林先生。只是，如果不来现场听听你的演出，我会非常遗憾的。,もちろんですわ、ハムリン先生。でも、ここであなたの演奏を聴かなければ、私、後悔してしまいますもの。,,,,,,,,,,,,,,
AvgDialog_60107_Content_88,anMn,avg章8_AvgDialog_C_M.csv,95,AvgDialog,Content,,于丽埃特微笑着颔首致意，轻轻整理了一下衣摆上的皱褶。,ジュリエットは微笑みながら会釈すると、裾の皺を丁寧に整えた。,,,,,,,,,,,,,,
AvgDialog_60107_Content_89,anMo,avg章8_AvgDialog_C_M.csv,96,AvgDialog,Content,,对于哈姆林的表达方式，她早已习惯，并不在意。,ハムリンの物言いには慣れている。\nジュリエットが意に介する様子は微塵もなかった。,,,,,,,,,,,,,,
AvgDialog_60107_Content_90,anMq,avg章8_AvgDialog_C_M.csv,97,AvgDialog,Content,于丽埃特八章,顺便，我也有重要的事情，需要向你当面告知。,それに、あなたに直接お伝えしなければならない、大切なお話もありますから。,,,,,,,,,,,,,,
AvgDialog_60107_Content_91,anMr,avg章8_AvgDialog_C_M.csv,98,AvgDialog,Content,哈姆林,行动开始了？,作戦が始まったのですか？,,,,,,,,,,,,,,
AvgDialog_60107_Content_92,anMs,avg章8_AvgDialog_C_M.csv,99,AvgDialog,Content,于丽埃特八章,不错。克莱门汀很顺利地处理掉了弥萨格的巡逻者，我们比预想中争取到了更多的时间。,ええ。クレメンタインがミサゴ大学の見回りを片付けてくれました。おかげで、当初の想定よりも時間を稼げそうです。,,,,,,,,,,,,,,
AvgDialog_60107_Content_93,anMt,avg章8_AvgDialog_C_M.csv,100,AvgDialog,Content,于丽埃特八章,你的计划很成功。,あなたの作戦は、大成功です。お見事ですわ。,,,,,,,,,,,,,,
AvgDialog_60107_Content_94,anMu,avg章8_AvgDialog_C_M.csv,101,AvgDialog,Content,哈姆林,只是一段并不复杂的前奏而已，现在说成功，为时尚早。,この程度、他愛ない前奏曲に過ぎません。\n成功を口にするのは、時期尚早ですよ。,,,,,,,,,,,,,,
AvgDialog_60107_Content_95,anMv,avg章8_AvgDialog_C_M.csv,102,AvgDialog,Content,于丽埃特八章,我相信你的智慧，指挥家先生。,あなたのお知恵を信じていますよ、指揮者さん。,,,,,,,,,,,,,,
AvgDialog_60107_Content_96,anMw,avg章8_AvgDialog_C_M.csv,103,AvgDialog,Content,于丽埃特八章,这一天，我们等了多久了？,この日が来るのを、私たちがどれほど待ちわびていたことか……,,,,,,,,,,,,,,
AvgDialog_60107_Content_97,anMx,avg章8_AvgDialog_C_M.csv,104,AvgDialog,Content,哈姆林,近二十年。,およそ20年。,,,,,,,,,,,,,,
AvgDialog_60107_Content_98,anMy,avg章8_AvgDialog_C_M.csv,105,AvgDialog,Content,于丽埃特八章,没错，近二十年。一段多么漫长的时光。,ええ、20年。あまりにも長い年月でしたわ……,,,,,,,,,,,,,,
AvgDialog_60107_Content_99,anMz,avg章8_AvgDialog_C_M.csv,106,AvgDialog,Content,于丽埃特八章,雕塑家协会和蹈海者的游戏，替我们吸引了足够多的注意力，我们的身影隐藏得很好。,彫刻家教会と海踊人のいざこざが、こちらに対する注意を逸らしてくれました。おかげで私たちは、うまく隠れられたのです。,,,,,,,,,,,,,,
AvgDialog_60107_Content_100,anKz,avg章8_AvgDialog_C_M.csv,107,AvgDialog,Content,于丽埃特八章,勒姆瓦希的计划失败，很遗憾，但也无关紧要。,ヴォルムワヒの計画が失敗したのは残念ですが、あの程度は取るに足りません。,,,,,,,,,,,,,,
