Key,ShortKey,Source,Row,Module,Field,Role,CN,JP_Manual,JP_AI,Status
Skill_55481_Name,aPnH,j技能表_Skill_A.csv,105,Skill,Name,,湮灭,湮滅,消滅,
Skill_126486_EffectNameList,bNAJ,j技能表_Skill_A.csv,1594,Skill,EffectNameList,阿拉克涅,"护盾,伤害强效,无尽线缕命运裁断","シールド,ダメージ強化,無限の糸,運命の裁き","シールド,ダメージ強化,無限の糸運命の裁断",
Skill_133366_Desc_0,bSbZ,j技能表_Skill_A.csv,1596,Skill,Desc,阿拉克涅,对所有敌人造成 [FateCut:Arg1] 点<CutKeywords:命运裁断>，生成 1 张「<DerivativeCardKeywords_138:牵丝引命>」置入手中<SilkKeywords1:>,すべての敵に[FateCut:Arg1]点の<CutKeywords:運命の裁き>をを付与し、1枚の「<DerivativeCardKeywords_138:導きの糸>」を手札に加える。,すべての敵に[FateCut:Arg1]ポイントの<CutKeywords:運命の裁断>を与え、1枚の「<DerivativeCardKeywords_138:運命の糸を引く>」を手札に加える<SilkKeywords1:>,
Skill_133366_EffectNameList,bSca,j技能表_Skill_A.csv,1596,Skill,EffectNameList,阿拉克涅,命运裁断,運命の裁き,運命裁断,
Skill_126488_Name,bNAY,j技能表_Skill_A.csv,1600,Skill,Name,,牵丝引命,導きの糸,運命の糸を引く,
Skill_126488_Desc_0,bNAV,j技能表_Skill_A.csv,1600,Skill,Desc,,失去 [Arg1]％ 最大生命，获得 1 层<SilkKeywords:织命>。本场战斗「<DerivativeCardKeywords_138:牵丝引命>」失去的生命和阿拉克涅造成的<CutKeywords:命运裁断>提高 [Arg2]％。虚无：阿拉克涅随机获得 15~30 点狂气。,[Arg1]％の最大ライフを失い、1層の<SilkKeywords:織命>を獲得。この戦闘中「<DerivativeCardKeywords_138:導きの糸>」が失ったライフとアラクネが与える<CutKeywords:運命の裁き>が[Arg2]％増加。虚無：アラクネはランダムに15〜30狂気を獲得。,[Arg1]％の最大ライフを失い、1層の<SilkKeywords:織命>を得る。この戦闘中「<DerivativeCardKeywords_138:運命の糸を引く>」が失ったライフとアラクネが与える<CutKeywords:運命の裁断>が[Arg2]％増加する。虚無：アラクネはランダムに15〜30ポイントの狂気を得る。,
Skill_126488_BattleDesc_0,bNAT,j技能表_Skill_A.csv,1600,Skill,BattleDesc,,失去 [Float:Arg3]％ 最大生命( [Arg4] )，获得 1 层<SilkKeywords:织命>。本场战斗「<DerivativeCardKeywords_138:牵丝引命>」失去的生命和阿拉克涅造成的<CutKeywords:命运裁断>提高 [Arg2]％。虚无：阿拉克涅随机获得 15~30 点狂气。,[Float:Arg3]％の最大ライフ（[Arg4]）を失い、1層の<SilkKeywords:織命>を獲得。この戦闘中「<DerivativeCardKeywords_138:導きの糸>」が失ったライフとアラクネが与える<CutKeywords:運命の裁き>が[Arg2]％増加。虚無：アラクネはランダムに15〜30狂気を獲得。,[Float:Arg3]％の最大ライフ（[Arg4]）を失い、1層の<SilkKeywords:織命>を得る。この戦闘中「<DerivativeCardKeywords_138:運命の糸を引く>」が失ったライフとアラクネが与える<CutKeywords:運命の裁断>が[Arg2]％増加する。虚無：アラクネはランダムに15〜30ポイントの狂気を得る。,
State_134240_Desc,bSFK,z状态表_State_A.csv,6210,State,Desc,,接下来 [Layer] 次「永恒织造」生成额外的「牵丝引命」置入抽牌堆和弃牌堆。,次に[Layer]回「永遠の織成」を使用して、追加の「導きの糸」を山札と捨て札に加える。,次に[Layer]回「永遠の織成」を使用して、追加の「運命の糸を引く」をドロー山と捨て札に置く。,
Skill_133365_Desc_0,bSbU,j技能表_Skill_A.csv,1597,Skill,Desc,阿拉克涅,获得 <Block:[Block:Arg1]> 点护盾，其他唤醒体获得 <Energy:[Energy:Arg2]> 点狂气，下次「永恒织造」会生成额外的「<DerivativeCardKeywords_138:牵丝引命>」置入抽牌堆和弃牌堆。,<Block:[Block:Arg1]>点のシールドを獲得。他の覚醒体に<Energy:[Energy:Arg2]>点の狂気を与える。次の「<DerivativeCardKeywords_139:永遠の織成>」は追加の「<DerivativeCardKeywords_138:導きの糸>」を山札と捨て札に加える。,<Block:[Block:Arg1]>点シールドを得て、他の覚醒体は<Energy:[Energy:Arg2]>点の狂気を得る。次回「永遠の織造」は追加の「<DerivativeCardKeywords_138:運命の糸を引く>」をドロー山と捨て札に置く。,
Skill_133381_Desc_0,bSUk,j技能表_Skill_A.csv,1598,Skill,Desc,阿拉克涅,获得 5 层临时<SingularityKeywords2:奇点棱镜>，对生命最低敌人造成 [FateCut:Arg2] 点<CutKeywords:命运裁断>。,5層の臨時<SingularityKeywords2:特異点プリズム>を獲得。HPが最も低い敵に [FateCut:Arg2] 点の<CutKeywords:運命の裁き>を付与する。,5層の臨時<SingularityKeywords2:特異点プリズム>を獲得し、HPが最も低い敵に [FateCut:Arg2] ポイントの<CutKeywords:運命裁断>を与える。,
Skill_133381_Desc_3,bSUl,j技能表_Skill_A.csv,1598,Skill,Desc,阿拉克涅,获得 10 层临时<SingularityKeywords2:奇点棱镜>，对生命最低敌人造成 [FateCut:Arg2] 点<CutKeywords:命运裁断>。,10層の臨時<SingularityKeywords2:特異点プリズム>を獲得。HPが最も低い敵に [FateCut:Arg2] 点の<CutKeywords:運命の裁き>を付与する。,10層の臨時<SingularityKeywords2:特異点プリズム>を獲得し、HPが最も低い敵に [FateCut:Arg2] ポイントの<CutKeywords:運命裁断>を与える。,
Skill_135916_Desc,bSUm,j技能表_Skill_A.csv,1599,Skill,Desc,阿拉克涅,获得 10 层临时<SingularityKeywords2:奇点棱镜>，对生命最低敌人造成 [FateCut:Arg2] 点<CutKeywords:命运裁断>。,10層の臨時<SingularityKeywords2:特異点プリズム>を獲得する。HPが最も低い敵に [FateCut:Arg2] 点の<CutKeywords:運命の裁き>を付与する。,10層の臨時<SingularityKeywords2:特異点プリズム>を獲得し、HPが最も低い敵に [FateCut:Arg2] ポイントの<CutKeywords:運命裁断>を与える。,
AwakerPotency_79197_PotencyDesc,atyM,h唤醒体启灵_AwakerPotency_A.csv,864,AwakerPotency,PotencyDesc,阿拉克涅,「永恒织造」造成的「命运裁断」提高 50%。「缚命罗网」获得「预备」和「保留」。,「永遠の織成」からの「運命の裁き」が50%上昇。「運命の縛糸」が「準備」と「保持」を獲得。,「永遠の織造」が与える「運命の裁断」が50％上昇。「縛命の羅網」が「準備」と「保留」を獲得。,
AwakerPotency_79198_PotencyName,atyP,h唤醒体启灵_AwakerPotency_A.csv,865,AwakerPotency,PotencyName,阿拉克涅,宿命如我所织,運命は私が織りなすもの,宿命は我が織りし如く,
AwakerPotency_79198_PotencyDesc,atyO,h唤醒体启灵_AwakerPotency_A.csv,865,AwakerPotency,PotencyDesc,阿拉克涅,「织命」上限由 3 提高为 5，「无尽线缕」获取的「奇点棱镜」翻倍。,「織命」上限が3から5に引き上げられる。「無限の糸」で得られる「特異点プリズム」が2倍になる。,「織命」の上限が3から5に上昇、「無尽の糸縷」が獲得する「特異点プリズム」が倍増。,
AwakerPotency_78986_PotencyDesc,atqG,h唤醒体启灵_AwakerPotency_A.csv,869,AwakerPotency,PotencyDesc,阿拉克涅,生成手中和超维空间最多 5 张具有「奇点信标」卡牌的临时原始复制，将其随机置入抽牌堆和弃牌堆并使其算力消耗变为 0。,手札と超次元空間にある「特異点ビーコン」を持つカードを最大5枚まで一時的な基本のコピーを生成し、ランダムに山札と捨て札に置き、その行動力消費を0にする。,手札と超次元空間にある「特異点ビーコン」を持つカードを最大5枚まで一時的な原始コピーを生成し、それらをランダムに山札と捨て札に置き、算力コストを0にする。,
AwakerPotency_79071_PotencyDesc,attU,h唤醒体启灵_AwakerPotency_A.csv,877,AwakerPotency,PotencyDesc,阿拉克涅,灵知觉醒「木偶戏场揭幕」获得强化，释放「湮灭」后立刻对所有敌人造成等同于 50％「命运裁断」的固定伤害，下次狂气爆发造成的伤害强效和护盾提高 50％。,霊知啓発「人形劇の開幕」が強化され、「湮滅」を使用後、すべての敵に「運命の裁き」の50％分の固定ダメージを与える。次の狂気解放によるダメージ強化とシールドが50％増加する。,霊知啓発「人形劇の開幕」が強化され、「湮滅」を放つと直ちに全ての敵に50％「運命の裁断」に相当する固定ダメージを与え、次回の狂気解放によるダメージ強化とシールドの増加が50％上昇する。,
Skill_124876_Desc_1,bQHL,jPVP技能表_Skill_A.csv,402,Skill,Desc,阿拉克涅,随机造成 [Arg1] 次 <Damage:[Damage:Arg2]> 伤害，将这张牌洗入抽牌堆，使所有「纺织」伤害次数 +1。,ランダムに[Arg1]回<Damage:[Damage:Arg2]>ダメージを与え、このカードを山札にシャッフルし、すべての「織物」のダメージ回数を+1する。,ランダムに[Arg1]回<Damage:[Damage:Arg2]>ダメージを与え、このカードをドロー山にシャッフルし、すべての「織物」のダメージ回数を+1する。,
Skill_124876_BattleDesc_1,bQHK,jPVP技能表_Skill_A.csv,402,Skill,BattleDesc,阿拉克涅,随机造成 [Arg3] 次 <Damage:[Damage:Arg2]> 伤害，将这张牌洗入抽牌堆，使所有「纺织」伤害次数 +1。,ランダムに[Arg3]回<Damage:[Damage:Arg2]>ダメージを与え、このカードを山札にシャッフルし、すべての「織物」のダメージ回数を+1する。,ランダムに[Arg3]回<Damage:[Damage:Arg2]>ダメージを与え、このカードをドロー山にシャッフルし、すべての「織物」のダメージ回数を+1する。,
Skill_124877_Name_1,bRfl,jPVP技能表_Skill_A.csv,401,Skill,Name,阿拉克涅,打击,攻撃,打撃,
Skill_124877_Desc_1,bQHM,jPVP技能表_Skill_A.csv,401,Skill,Desc,阿拉克涅,对前排敌方造成 <Damage:[Damage:Arg1]> 伤害，获得 <Energy:[Energy:Arg2]> 狂气。,前方の敵に<Damage:[Damage:Arg1]>ダメージを与える。<Energy:[Energy:Arg2]>狂気を得る。,前方の敵に <Damage:[Damage:Arg1]> のダメージを与え、<Energy:[Energy:Arg2]> の狂気を得る。,
Skill_124876_Name_1,bRfk,jPVP技能表_Skill_A.csv,402,Skill,Name,阿拉克涅,纺织,織る,織物,
Skill_124872_Name_1,bRfh,jPVP技能表_Skill_A.csv,403,Skill,Name,阿拉克涅,繁网,絡まった糸,繁網,
Skill_124872_Desc_1,bQHH,jPVP技能表_Skill_A.csv,403,Skill,Desc,阿拉克涅,选择一名友方，使其下 1 张打出的「技能」生效 2 次。,味方を1体選択し、次に出す「スキル」を2回発動させる。,味方を1体選択し、その下にある1枚の発射した「スキル」を2回発動させる。,
Skill_124878_Name_1,bRfm,jPVP技能表_Skill_A.csv,404,Skill,Name,阿拉克涅,预言,予言,予言,
Skill_124878_Desc_1,bQHN,jPVP技能表_Skill_A.csv,404,Skill,Desc,阿拉克涅,<PVPHoldingKeywords:持有>：每次打出卡牌后变化为敌方手中的随机「技能」，并使其算力消耗 -1。,<PVPHoldingKeywords:保有>：カードを使用するごとに、敵の手札のランダムな「スキル」に変化し、そのカードの行動力消費を1減少させる。,<PVPHoldingKeywords:保有>：カードを発射するたびに、敵の手札のランダムな「スキル」に変化し、その行動力消費を-1する。,
State_124888_Desc,bMIU,zPVP状态表_State_A.csv,317,State,Desc,,每次打出卡牌后变化为敌方手中的随机「技能」，并使其算力消耗 -1。,カードを使用するごとに、敵の手札のランダムな「スキル」に変化し、そのカードの行動力消費を1減少させる。,カードを発射するたびに、敵の手札のランダムな「スキル」に変化し、その行動力消費を-1する。,
AwakerStory_134319_Title,bSOB,h唤醒体故事_AwakerStory_A.csv,290,AwakerStory,Title,阿拉克涅,故事·一,ストーリー·一,ストーリー·いち,
AwakerTalent_78642_TalentDesc_1,auPB,h唤醒体天赋_AwakerTalent_A_M.csv,1443,AwakerTalent,TalentDesc,阿拉克涅,·该天赋仅在「星辰篇」关卡中生效。\n·该唤醒体的体质、攻击、防御提高 [Arg1] %，并使该唤醒体首次打出灵知觉醒后获得 [Arg2] 点银钥能量。\n·阿拉克涅造成的「命运裁断」提高 [Arg3]％，对异变体敌人造成的「命运裁断」翻倍。,・この才能は「星辰篇」のステージでのみ有効。\n·該当の覚醒体の体力、攻撃、防御が[Arg1]％増加し、その覚醒体が初めて霊知啓発を使用した時[Arg2]キーエネルギーを獲得。\n·アラクネの「運命の裁き」が[Arg3]％増加し、ミュータント敵に対する「運命の裁き」は2倍になる。,・この才能は「星辰篇」のステージでのみ有効。\n・該当の覚醒体の体力、攻撃、防御が[Arg1]%増加し、その覚醒体が初めて霊知啓発を使用した時[Arg2]銀キーエネルギーを獲得。\n・アラクネが与える「運命裁断」が[Arg3]％増加し、異変体の敵に与える「運命裁断」が倍になる。,
AwakerTalent_78642_TalentDesc_2,auPD,h唤醒体天赋_AwakerTalent_A_M.csv,1444,AwakerTalent,TalentDesc,阿拉克涅,·该天赋仅在「星辰篇」关卡中生效。\n·该唤醒体的体质、攻击、防御提高 [Arg1] %，并使该唤醒体首次打出灵知觉醒后获得 [Arg2] 点银钥能量。\n·阿拉克涅造成的「命运裁断」提高 [Arg3]％，对异变体敌人造成的「命运裁断」翻倍。,・この才能は「星辰篇」のステージでのみ有効。\n·該当の覚醒体の体力、攻撃、防御が[Arg1]％増加し、その覚醒体が初めて霊知啓発を使用した時[Arg2]キーエネルギーを獲得。\n·アラクネの「運命の裁き」が[Arg3]％増加し、ミュータント敵に対する「運命の裁き」は2倍になる。,・この才能は「星辰篇」のステージでのみ有効。\n・該当の覚醒体の体力、攻撃、防御が[Arg1]%増加し、その覚醒体が初めて霊知啓発を使用した時[Arg2]銀キーエネルギーを獲得。\n・アラクネが与える「運命裁断」が[Arg3]％増加し、異変体の敵に与える「運命裁断」が倍になる。,
AwakerTalent_78642_TalentDesc_3,auPE,h唤醒体天赋_AwakerTalent_A_M.csv,1445,AwakerTalent,TalentDesc,阿拉克涅,·该天赋仅在「星辰篇」关卡中生效。\n·该唤醒体的体质、攻击、防御提高 [Arg1] %，并使该唤醒体首次打出灵知觉醒后获得 [Arg2] 点银钥能量。\n·阿拉克涅造成的「命运裁断」提高 [Arg3]％，对异变体敌人造成的「命运裁断」翻倍。,・この才能は「星辰篇」のステージでのみ有効。\n·該当の覚醒体の体力、攻撃、防御が[Arg1]％増加し、その覚醒体が初めて霊知啓発を使用した時[Arg2]キーエネルギーを獲得。\n·アラクネの「運命の裁き」が[Arg3]％増加し、ミュータント敵に対する「運命の裁き」は2倍になる。,・この才能は「星辰篇」のステージでのみ有効。\n・該当の覚醒体の体力、攻撃、防御が[Arg1]%増加し、その覚醒体が初めて霊知啓発を使用した時[Arg2]銀キーエネルギーを獲得。\n・アラクネが与える「運命裁断」が[Arg3]％増加し、異変体の敵に与える「運命裁断」が倍になる。,
AwakerTalent_78642_TalentDesc_4,auPF,h唤醒体天赋_AwakerTalent_A_M.csv,1446,AwakerTalent,TalentDesc,阿拉克涅,·该天赋仅在「星辰篇」关卡中生效。\n·该唤醒体的体质、攻击、防御提高 [Arg1] %，并使该唤醒体首次打出灵知觉醒后获得 [Arg2] 点银钥能量。\n·阿拉克涅造成的「命运裁断」提高 [Arg3]％，对异变体敌人造成的「命运裁断」翻倍。,・この才能は「星辰篇」のステージでのみ有効。\n·該当の覚醒体の体力、攻撃、防御が[Arg1]％増加し、その覚醒体が初めて霊知啓発を使用した時[Arg2]キーエネルギーを獲得。\n·アラクネの「運命の裁き」が[Arg3]％増加し、ミュータント敵に対する「運命の裁き」は2倍になる。,・この才能は「星辰篇」のステージでのみ有効。\n・該当の覚醒体の体力、攻撃、防御が[Arg1]%増加し、その覚醒体が初めて霊知啓発を使用した時[Arg2]銀キーエネルギーを獲得。\n・アラクネが与える「運命裁断」が[Arg3]％増加し、異変体の敵に与える「運命裁断」が倍になる。,
AwakerTalent_78642_TalentDesc_5,auPG,h唤醒体天赋_AwakerTalent_A_M.csv,1447,AwakerTalent,TalentDesc,阿拉克涅,·该天赋仅在「星辰篇」关卡中生效。\n·该唤醒体的体质、攻击、防御提高 [Arg1] %，并使该唤醒体首次打出灵知觉醒后获得 [Arg2] 点银钥能量。\n·阿拉克涅造成的「命运裁断」提高 [Arg3]％，对异变体敌人造成的「命运裁断」翻倍。,・この才能は「星辰篇」のステージでのみ有効。\n·該当の覚醒体の体力、攻撃、防御が[Arg1]％増加し、その覚醒体が初めて霊知啓発を使用した時[Arg2]キーエネルギーを獲得。\n·アラクネの「運命の裁き」が[Arg3]％増加し、ミュータント敵に対する「運命の裁き」は2倍になる。,・この才能は「星辰篇」のステージでのみ有効。\n・該当の覚醒体の体力、攻撃、防御が[Arg1]%増加し、その覚醒体が初めて霊知啓発を使用した時[Arg2]銀キーエネルギーを獲得。\n・アラクネが与える「運命裁断」が[Arg3]％増加し、異変体の敵に与える「運命裁断」が倍になる。,
AwakerTalent_78642_TalentDesc_6,auPH,h唤醒体天赋_AwakerTalent_A_M.csv,1448,AwakerTalent,TalentDesc,阿拉克涅,·该天赋仅在「星辰篇」关卡中生效。\n·该唤醒体的体质、攻击、防御提高 [Arg1] %，并使该唤醒体首次打出灵知觉醒后获得 [Arg2] 点银钥能量。\n·阿拉克涅造成的「命运裁断」提高 [Arg3]％，对异变体敌人造成的「命运裁断」翻倍。,・この才能は「星辰篇」のステージでのみ有効。\n·該当の覚醒体の体力、攻撃、防御が[Arg1]％増加し、その覚醒体が初めて霊知啓発を使用した時[Arg2]キーエネルギーを獲得。\n·アラクネの「運命の裁き」が[Arg3]％増加し、ミュータント敵に対する「運命の裁き」は2倍になる。,・この才能は「星辰篇」のステージでのみ有効。\n・該当の覚醒体の体力、攻撃、防御が[Arg1]%増加し、その覚醒体が初めて霊知啓発を使用した時[Arg2]銀キーエネルギーを獲得。\n・アラクネが与える「運命裁断」が[Arg3]％増加し、異変体の敵に与える「運命裁断」が倍になる。,
